SBWM-2			
4			
x			
y			
z			
gamma			
long UTM	lat UTM	z	gamma
4638.24	6252.62	145.5696888	107.649
4638.24	6252.62	145.926	84.2776
4638.24	6252.62	146.2823112	98.4419
4638.24	6252.62	146.9952384	70.1133
4638.24	6252.62	148.0644768	66.5722
4638.24	6252.62	150.2029536	73.6544
4638.24	6252.62	151.9851192	86.4023
4638.24	6252.62	153.4106688	120.397
4638.24	6252.62	154.480212	99.1501
4638.24	6252.62	154.8365232	148.725
4638.24	6252.62	155.1928344	174.929
4638.24	6252.62	155.5494504	159.348
4638.24	6252.62	157.3313112	179.178
4638.24	6252.62	158.4005496	106.941
4638.24	6252.62	158.7571656	123.938
4638.24	6252.62	159.1134768	97.7337
4638.24	6252.62	159.826404	142.351
4638.24	6252.62	160.8956424	89.9433
4638.24	6252.62	161.9648808	105.524
4638.24	6252.62	162.677808	121.105
4638.24	6252.62	164.8162848	105.524
4638.24	6252.62	165.529212	84.9858
4638.24	6252.62	165.8855232	78.6119
4638.24	6252.62	169.8061656	72.9462
4638.24	6252.62	170.1624768	89.2351
4638.24	6252.62	174.0831192	84.2776
4638.24	6252.62	176.221596	82.153
4638.24	6252.62	177.2908344	86.4023
4638.24	6252.62	177.6474504	79.3201
4638.24	6252.62	178.7166888	87.1105
4638.24	6252.62	180.1422384	82.153
4638.24	6252.62	182.6373312	91.3598
4638.24	6252.62	182.9936424	77.1955
4638.24	6252.62	187.270596	72.238
4638.24	6252.62	189.4090728	66.5722
4638.24	6252.62	192.973404	65.864
4638.24	6252.62	194.0426424	80.7365
4638.24	6252.62	194.0426424	80.7365
4638.24	6252.62	194.7555696	63.0312
4638.24	6252.62	196.8940464	78.6119
4638.24	6252.62	197.9632848	111.898
4638.24	6252.62	198.319596	88.5269
4638.24	6252.62	198.676212	65.864
4638.24	6252.62	199.0325232	157.224
4638.24	6252.62	199.7454504	109.773
4638.24	6252.62	200.1017616	172.805
4638.24	6252.62	202.2402384	74.3626
4638.24	6252.62	203.665788	63.0312
4638.24	6252.62	206.517192	58.7819
4638.24	6252.62	207.5864304	55.949
4638.24	6252.62	209.0122848	63.0312
4638.24	6252.62	209.725212	72.9462
4638.24	6252.62	213.2892384	59.4901
4638.24	6252.62	215.7843312	61.6147
4638.24	6252.62	217.922808	58.7819
4638.24	6252.62	221.1305232	69.4051
4638.24	6252.62	221.4868344	75.779
4638.24	6252.62	222.5560728	86.4023
4638.24	6252.62	225.763788	74.3626
4638.24	6252.62	227.1896424	77.9037
4638.24	6252.62	230.0410464	67.9887
4638.24	6252.62	231.1102848	77.1955
4638.24	6252.62	233.9616888	70.1133
4638.24	6252.62	235.7435496	76.4873
4638.24	6252.62	240.7334304	69.4051
4638.24	6252.62	243.9414504	67.9887
4638.24	6252.62	247.861788	62.3229
4638.24	6252.62	252.1390464	75.779
4638.24	6252.62	257.4852384	82.153
4638.24	6252.62	262.8314304	93.4844
