SBWM-2			
4			
x			
y			
z			
64 inch			
long UTM	lat UTM	z	64 inch
4638.24	6252.62	274.49064	36.2495
4638.24	6252.62	274.8475608	42.6055
4638.24	6252.62	276.2740248	50.2331
4638.24	6252.62	279.4838736	48.3979
4638.24	6252.62	282.336192	50.235
4638.24	6252.62	284.475888	49.1057
4638.24	6252.62	287.685432	46.2819
4638.24	6252.62	288.042048	44.0221
4638.24	6252.62	289.114944	41.6213
4638.24	6252.62	290.898024	42.4693
4638.24	6252.62	291.611256	34.9837
4638.24	6252.62	293.03772	36.5378
4638.24	6252.62	296.247264	33.2902
4638.24	6252.62	298.030344	30.7484
4638.24	6252.62	300.526656	33.1503
4638.24	6252.62	301.596504	35.693
4638.24	6252.62	303.379584	38.0947
4638.24	6252.62	304.092816	29.3379
4638.24	6252.62	304.449432	32.7278
4638.24	6252.62	307.30236	29.6214
4638.24	6252.62	308.372208	27.0793
4638.24	6252.62	310.86852	28.9163
4638.24	6252.62	312.6516	26.2332
4638.24	6252.62	314.43468	24.8214
4638.24	6252.62	318.357456	28.0712
4638.24	6252.62	318.714072	24.6815
4638.24	6252.62	321.570048	27.0835
4638.24	6252.62	323.709744	24.1181
4638.24	6252.62	327.275904	26.8028
4638.24	6252.62	329.772216	23.555
4638.24	6252.62	335.834688	22.0032
4638.24	6252.62	339.044232	20.5918
4638.24	6252.62	342.253776	17.9092
4638.24	6252.62	346.889784	20.4531
4638.24	6252.62	349.02948	22.1486
4638.24	6252.62	351.525792	23.9856
4638.24	6252.62	352.952256	18.1951
4638.24	6252.62	355.451616	21.5857
4638.24	6252.62	356.521464	17.9137
4638.24	6252.62	358.304544	22.8578
4638.24	6252.62	360.800856	18.48
4638.24	6252.62	361.870704	22.0114
4638.24	6252.62	362.583936	17.6331
4638.24	6252.62	365.080248	20.7413
4638.24	6252.62	369.716256	19.3303
4638.24	6252.62	371.14272	22.4381
4638.24	6252.62	374.70888	23.0042
4638.24	6252.62	381.484584	24.2775
4638.24	6252.62	384.337512	22.301
4638.24	6252.62	386.836872	22.443
4638.24	6252.62	388.976568	24.5623
4638.24	6252.62	390.403032	26.2577
4638.24	6252.62	391.829496	28.518
4638.24	6252.62	392.542728	27.1058
4638.24	6252.62	395.03904	28.3778
4638.24	6252.62	396.465504	26.6834
4638.24	6252.62	397.535352	24.565
4638.24	6252.62	400.744896	24.9898
4638.24	6252.62	401.814744	23.7189
4638.24	6252.62	404.667672	21.6012
4638.24	6252.62	406.807368	20.3307
4638.24	6252.62	408.947064	22.0263
4638.24	6252.62	413.226456	18.3553
4638.24	6252.62	415.009536	16.096
4638.24	6252.62	417.865512	16.6618
4638.24	6252.62	422.50152	14.8271
4638.24	6252.62	426.06768	14.122
4638.24	6252.62	427.85076	12.8514
4638.24	6252.62	431.773536	12.2877
4638.24	6252.62	432.486768	0.423504
4638.24	6252.62	432.843384	6.07333
