SBWM-2			
4			
x			
y			
z			
single point			
long UTM	lat UTM	z	single point
4638.24	6252.62	144.2151576	28.6885
4638.24	6252.62	144.6254184	22.1311
4638.24	6252.62	145.8571152	29.5082
4638.24	6252.62	147.0885072	24.4262
4638.24	6252.62	147.9093336	22.7869
4638.24	6252.62	150.3724224	23.1148
4638.24	6252.62	151.1932488	22.459
4638.24	6252.62	153.6563376	22.9508
4638.24	6252.62	154.0669032	24.5902
4638.24	6252.62	154.8877296	23.4426
4638.24	6252.62	156.1191216	21.8033
4638.24	6252.62	157.3508184	23.4426
4638.24	6252.62	157.7610792	24.7541
4638.24	6252.62	158.1716448	27.541
4638.24	6252.62	159.4030368	28.5246
4638.24	6252.62	159.4030368	28.5246
4638.24	6252.62	161.45556	28.0328
4638.24	6252.62	162.686952	30
4638.24	6252.62	163.0975176	31.6393
4638.24	6252.62	163.9186488	27.8689
4638.24	6252.62	164.7394752	20.3279
4638.24	6252.62	164.7394752	20.3279
4638.24	6252.62	165.5606064	25.9016
4638.24	6252.62	167.6128248	16.5574
4638.24	6252.62	169.665348	18.1967
4638.24	6252.62	170.0759136	20.6557
4638.24	6252.62	171.3073056	18.5246
4638.24	6252.62	173.3598288	22.2951
4638.24	6252.62	174.5912208	17.7049
4638.24	6252.62	174.5912208	17.7049
4638.24	6252.62	176.643744	26.3934
4638.24	6252.62	177.0543096	21.6393
4638.24	6252.62	177.0543096	21.6393
4638.24	6252.62	177.875136	24.0984
4638.24	6252.62	178.6962672	23.4426
4638.24	6252.62	180.3382248	24.5902
4638.24	6252.62	181.5696168	28.1967
4638.24	6252.62	182.3904432	24.7541
4638.24	6252.62	183.2115744	25.7377
4638.24	6252.62	185.2640976	32.7869
4638.24	6252.62	185.2640976	32.7869
4638.24	6252.62	185.6746632	25.5738
4638.24	6252.62	186.4954896	37.7049
4638.24	6252.62	186.9060552	31.1475
4638.24	6252.62	187.3166208	33.4426
4638.24	6252.62	187.7268816	35.9016
4638.24	6252.62	188.1374472	27.377
4638.24	6252.62	188.9585784	26.2295
4638.24	6252.62	191.0107968	25.9016
4638.24	6252.62	192.6527544	25.2459
4638.24	6252.62	195.1158432	26.8852
4638.24	6252.62	195.5264088	27.8689
4638.24	6252.62	196.3472352	29.3443
4638.24	6252.62	196.7578008	22.623
4638.24	6252.62	196.7578008	22.623
4638.24	6252.62	197.5786272	30
4638.24	6252.62	198.3997584	21.1475
4638.24	6252.62	199.6311504	19.3443
4638.24	6252.62	200.4522816	22.9508
4638.24	6252.62	200.8625424	17.0492
4638.24	6252.62	202.5045	17.7049
4638.24	6252.62	202.5045	17.7049
4638.24	6252.62	204.1464576	30.4918
4638.24	6252.62	204.5570232	26.5574
4638.24	6252.62	204.9675888	27.8689
4638.24	6252.62	207.020112	28.1967
4638.24	6252.62	207.4303728	30.1639
4638.24	6252.62	209.0723304	27.8689
4638.24	6252.62	209.482896	25.9016
4638.24	6252.62	209.8934616	24.0984
4638.24	6252.62	211.9459848	25.4098
4638.24	6252.62	212.7668112	26.8852
4638.24	6252.62	213.5879424	26.0656
4638.24	6252.62	214.8193344	28.3607
4638.24	6252.62	215.2299	29.1803
4638.24	6252.62	218.1032496	27.377
4638.24	6252.62	220.5660336	25.5738
4638.24	6252.62	220.9765992	24.7541
4638.24	6252.62	223.0291224	26.0656
4638.24	6252.62	223.439688	27.7049
4638.24	6252.62	224.2605144	29.1803
4638.24	6252.62	225.902472	30.8197
4638.24	6252.62	228.7758216	30.1639
4638.24	6252.62	230.8283448	28.5246
4638.24	6252.62	233.7016944	26.0656
4638.24	6252.62	235.3439568	24.5902
4638.24	6252.62	236.1647832	22.9508
4638.24	6252.62	236.9859144	21.6393
4638.24	6252.62	238.627872	19.3443
4638.24	6252.62	239.859264	18.6885
4638.24	6252.62	240.6800904	21.9672
4638.24	6252.62	241.090656	24.918
4638.24	6252.62	241.090656	24.918
4638.24	6252.62	241.5012216	30.4918
4638.24	6252.62	243.9640056	30.9836
4638.24	6252.62	247.6584864	29.3443
4638.24	6252.62	248.069052	25.9016
4638.24	6252.62	248.4796176	22.459
4638.24	6252.62	248.4796176	22.459
4638.24	6252.62	248.8898784	19.3443
4638.24	6252.62	250.9424016	18.1967
4638.24	6252.62	254.2263168	17.7049
4638.24	6252.62	257.510232	16.7213
4638.24	6252.62	259.1521896	15.5738
4638.24	6252.62	262.4361048	15.2459
4638.24	6252.62	264.488628	15.4098
4638.24	6252.62	266.1305856	15.9016
4638.24	6252.62	266.951412	24.2623
4638.24	6252.62	267.3619776	21.3115
4638.24	6252.62	267.3619776	21.3115
4638.24	6252.62	267.3619776	21.3115
4638.24	6252.62	269.0039352	26.7213
4638.24	6252.62	269.4145008	30.3279
4638.24	6252.62	271.0564584	30.1639
4638.24	6252.62	271.467024	28.0328
4638.24	6252.62	272.2878504	26.0656
4638.24	6252.62	272.698416	24.918
4638.24	6252.62	273.1089816	24.0984
4638.24	6252.62	274.3403736	28.3607
4638.24	6252.62	274.3403736	28.3607
4638.24	6252.62	274.7509392	35.5738
4638.24	6252.62	274.7509392	35.5738
4638.24	6252.62	275.9823312	37.7049
4638.24	6252.62	277.2137232	37.7049
4638.24	6252.62	278.0348544	35.9016
4638.24	6252.62	278.4451152	28.6885
4638.24	6252.62	278.4451152	28.6885
4638.24	6252.62	280.0870728	30
4638.24	6252.62	280.90668	30.8197
4638.24	6252.62	282.14112	33.2787
4638.24	6252.62	283.780944	34.5902
4638.24	6252.62	284.192424	35.2459
4638.24	6252.62	285.012336	39.6721
4638.24	6252.62	285.423816	45.2459
4638.24	6252.62	285.423816	45.2459
4638.24	6252.62	285.835296	41.6393
4638.24	6252.62	285.835296	41.6393
4638.24	6252.62	286.243728	43.4426
4638.24	6252.62	286.655208	33.9344
4638.24	6252.62	287.066688	29.0164
4638.24	6252.62	287.47512	32.1311
4638.24	6252.62	289.529472	29.8361
4638.24	6252.62	290.349384	29.1803
4638.24	6252.62	291.580776	29.0164
4638.24	6252.62	291.992256	27.541
4638.24	6252.62	292.400688	29.1803
4638.24	6252.62	293.223648	33.4426
4638.24	6252.62	293.63208	25.7377
4638.24	6252.62	295.274952	28.0328
4638.24	6252.62	295.686432	28.6885
4638.24	6252.62	297.737736	26.3934
4638.24	6252.62	299.380608	24.7541
4638.24	6252.62	299.792088	26.5574
4638.24	6252.62	301.02348	28.8525
4638.24	6252.62	302.663304	29.5082
4638.24	6252.62	303.894696	30.4918
4638.24	6252.62	304.306176	35.9016
4638.24	6252.62	304.717656	32.2951
4638.24	6252.62	305.537568	30.4918
4638.24	6252.62	305.537568	30.4918
4638.24	6252.62	306.35748	27.377
4638.24	6252.62	306.76896	26.0656
4638.24	6252.62	307.588872	25.082
4638.24	6252.62	310.463136	27.8689
4638.24	6252.62	311.694528	26.7213
4638.24	6252.62	313.3374	23.6066
4638.24	6252.62	314.568792	21.9672
4638.24	6252.62	316.211664	26.8852
4638.24	6252.62	317.031576	25.5738
4638.24	6252.62	319.90584	27.377
4638.24	6252.62	320.314272	24.0984
4638.24	6252.62	321.137232	27.377
4638.24	6252.62	323.600016	23.1148
4638.24	6252.62	324.008448	25.4098
4638.24	6252.62	324.419928	26.8852
4638.24	6252.62	326.0628	25.9016
4638.24	6252.62	327.702624	25.082
4638.24	6252.62	329.756976	24.5902
4638.24	6252.62	330.576888	23.9344
4638.24	6252.62	333.451152	23.9344
4638.24	6252.62	335.094024	23.2787
4638.24	6252.62	337.145328	22.459
4638.24	6252.62	338.37672	24.7541
4638.24	6252.62	340.019592	24.5902
4638.24	6252.62	341.250984	21.8033
4638.24	6252.62	341.659416	20.4918
4638.24	6252.62	342.890808	21.3115
4638.24	6252.62	343.713768	24.5902
4638.24	6252.62	346.996464	21.4754
4638.24	6252.62	349.459248	21.1475
4638.24	6252.62	349.870728	22.9508
4638.24	6252.62	352.744992	22.7869
4638.24	6252.62	353.564904	25.7377
4638.24	6252.62	353.976384	21.6393
4638.24	6252.62	354.796296	30.1639
4638.24	6252.62	356.439168	21.3115
4638.24	6252.62	358.078992	22.1311
4638.24	6252.62	358.078992	22.1311
4638.24	6252.62	359.721864	22.7869
4638.24	6252.62	360.953256	24.2623
4638.24	6252.62	361.364736	26.5574
4638.24	6252.62	361.776216	22.2951
4638.24	6252.62	362.596128	24.4262
4638.24	6252.62	363.007608	21.8033
4638.24	6252.62	364.239	26.8852
4638.24	6252.62	366.290304	22.1311
4638.24	6252.62	367.933176	21.6393
4638.24	6252.62	372.447264	22.1311
4638.24	6252.62	373.267176	22.9508
4638.24	6252.62	376.55292	23.2787
4638.24	6252.62	379.427184	23.1148
4638.24	6252.62	381.067008	24.7541
4638.24	6252.62	383.12136	24.2623
4638.24	6252.62	388.45536	23.2787
4638.24	6252.62	390.509712	25.2459
4638.24	6252.62	390.918144	27.0492
4638.24	6252.62	391.741104	27.7049
4638.24	6252.62	392.972496	26.7213
4638.24	6252.62	394.203888	25.9016
4638.24	6252.62	394.615368	27.8689
4638.24	6252.62	398.717976	25.5738
4638.24	6252.62	399.129456	25.082
4638.24	6252.62	402.412152	27.377
4638.24	6252.62	404.466504	26.7213
4638.24	6252.62	406.517808	25.4098
4638.24	6252.62	408.980592	24.5902
4638.24	6252.62	410.623464	25.7377
4638.24	6252.62	414.72912	23.4426
4638.24	6252.62	415.549032	20.3279
4638.24	6252.62	417.600336	23.6066
4638.24	6252.62	419.243208	23.4426
4638.24	6252.62	421.705992	21.6393
4638.24	6252.62	423.757296	22.2951
4638.24	6252.62	427.45452	19.5082
4638.24	6252.62	429.917304	16.7213
4638.24	6252.62	432.380088	17.7049
