SBWM-2			
4			
x			
y			
z			
SP			
long UTM	lat UTM	z	SP
4638.24	6252.62	377.174712	3.26705
4638.24	6252.62	381.4602	0.710227
4638.24	6252.62	385.379928	-0.568182
4638.24	6252.62	392.146488	-1.70455
4638.24	6252.62	393.923472	-1.84659
4638.24	6252.62	397.459152	0.994318
4638.24	6252.62	398.900856	-1.5625
4638.24	6252.62	400.302936	1.13636
4638.24	6252.62	402.771816	4.11932
4638.24	6252.62	406.645824	9.23295
4638.24	6252.62	407.68824	12.642
4638.24	6252.62	409.09032	15.1989
4638.24	6252.62	411.5592	18.1818
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
4638.24	6252.62		
