SBWM-2			
4			
x			
y			
z			
16 inch			
long UTM	lat UTM	z	16 inch
4638.24	6252.62	-11.54245824	40.8712
4638.24	6252.62	-10.11584184	29.3802
4638.24	6252.62	-10.11584184	29.3802
4638.24	6252.62	-9.75919536	16.1035
4638.24	6252.62	-9.40254888	22.8833
4638.24	6252.62	-7.26263952	31.9235
4638.24	6252.62	-5.8360536	22.1782
4638.24	6252.62	-5.47940712	27.263
4638.24	6252.62	-4.40946768	16.5289
4638.24	6252.62	-3.33949776	11.0208
4638.24	6252.62	1.29693696	8.19737
4638.24	6252.62	7.3599576	5.51566
4638.24	6252.62	8.4298056	49.5838
4638.24	6252.62	9.1433424	41.3919
4638.24	6252.62	9.8565744	36.3074
4638.24	6252.62	11.9965752	24.0199
4638.24	6252.62	13.7796552	18.3708
4638.24	6252.62	15.206424	13.8515
4638.24	6252.62	16.989504	10.4622
4638.24	6252.62	20.5559688	7.7797
4638.24	6252.62	22.6959696	6.50919
4638.24	6252.62	25.9058184	5.94523
4638.24	6252.62	28.4024352	6.51099
4638.24	6252.62	29.8288992	5.94646
4638.24	6252.62	30.5421312	4.95799
4638.24	6252.62	31.612284	3.96962
4638.24	6252.62	33.75198	5.9477
4638.24	6252.62	35.5353648	4.1121
4638.24	6252.62	37.3184448	4.96012
4638.24	6252.62	40.1716776	4.39605
4638.24	6252.62	43.7381424	4.11468
4638.24	6252.62	46.2347592	5.24541
4638.24	6252.62	49.444608	6.8001
4638.24	6252.62	51.5846088	5.2471
4638.24	6252.62	54.7944576	6.66054
4638.24	6252.62	59.7873864	4.96719
4638.24	6252.62	62.6406192	3.97939
4638.24	6252.62	65.493852	5.95769
4638.24	6252.62	66.5640048	8.64164
4638.24	6252.62	69.4169328	30.394
4638.24	6252.62	70.1304696	37.3151
4638.24	6252.62	71.9135496	18.5303
4638.24	6252.62	72.6267816	29.1238
4638.24	6252.62	73.6969344	8.64389
4638.24	6252.62	77.2633992	34.775
4638.24	6252.62	79.0464792	42.1201
4638.24	6252.62	81.899712	23.3357
4638.24	6252.62	82.256328	17.6861
4638.24	6252.62	83.6830968	12.1781
4638.24	6252.62	85.1095608	7.94127
4638.24	6252.62	86.5363296	20.2299
4638.24	6252.62	86.8929456	26.7271
4638.24	6252.62	89.0329464	22.9143
4638.24	6252.62	90.1027944	13.0276
4638.24	6252.62	91.1726424	18.8189
4638.24	6252.62	94.0258752	15.0062
4638.24	6252.62	94.7391072	9.49797
4638.24	6252.62	97.235724	17.2671
4638.24	6252.62	97.948956	26.7306
4638.24	6252.62	99.7323408	19.8103
4638.24	6252.62	99.7323408	19.8103
4638.24	6252.62	100.8021888	15.9971
4638.24	6252.62	101.5157256	19.6696
4638.24	6252.62	101.8723416	19.1047
4638.24	6252.62	104.0120376	20.2354
4638.24	6252.62	106.1520384	18.2586
4638.24	6252.62	107.5785024	20.0952
4638.24	6252.62	108.6486552	16.5645
4638.24	6252.62	110.4317352	13.034
4638.24	6252.62	111.145272	6.96076
4638.24	6252.62	112.928352	5.69014
4638.24	6252.62	117.2080488	7.81013
4638.24	6252.62	118.9914336	5.40956
4638.24	6252.62	121.8446664	8.5178
4638.24	6252.62	122.2012824	11.2015
4638.24	6252.62	125.0545152	12.3324
4638.24	6252.62	127.194516	13.3217
4638.24	6252.62	127.551132	7.10717
4638.24	6252.62	128.264364	5.12999
4638.24	6252.62	130.4043648	4.42445
4638.24	6252.62	131.8308288	7.81473
4638.24	6252.62	132.5440608	11.7698
4638.24	6252.62	133.6142136	14.8774
4638.24	6252.62	133.9708296	17.2787
4638.24	6252.62	135.7539096	13.8894
4638.24	6252.62	136.4671416	17.562
4638.24	6252.62	138.6071424	6.82816
4638.24	6252.62	138.9637584	9.79438
4638.24	6252.62	139.6769904	13.8906
4638.24	6252.62	142.5302232	5.69946
4638.24	6252.62	143.24376	11.7731
4638.24	6252.62	143.600376	20.6715
4638.24	6252.62	143.956992	25.6152
4638.24	6252.62	146.4536088	22.5086
4638.24	6252.62	147.1668408	18.4128
4638.24	6252.62	147.8800728	15.4469
4638.24	6252.62	150.0200736	16.86
4638.24	6252.62	151.8031536	18.273
4638.24	6252.62	153.2299224	21.9458
4638.24	6252.62	156.0831552	17.1444
4638.24	6252.62	158.2228512	28.8682
4638.24	6252.62	158.5794672	22.3712
4638.24	6252.62	160.006236	34.6598
4638.24	6252.62	163.5727008	32.5422
4638.24	6252.62	163.9293168	25.9039
4638.24	6252.62	164.2859328	19.4069
4638.24	6252.62	164.6425488	7.11885
4638.24	6252.62	164.6425488	7.11885
4638.24	6252.62	167.1391656	6.41342
4638.24	6252.62	169.6357824	9.23906
