CH
CH-CL
CL
CL-CH
GC
GP
GP-GC
GP-SP
Gravelly/silty sand w/clay
MH
ML
ML-MH
SC
SC-SM
SM
SM-SC
SP
SP-GP
SP-SC
SP-SM
SW
SW-GP
SW-GW
SW-SC
