SBWM-3			
4			
x			
y			
z			
64 inch			
x utm	y utm	z	64 inch
4397.16	5815.44	225.92382	9.29577
4397.16	5815.44	230.19864	8.16901
4397.16	5815.44	235.7685552	7.46479
4397.16	5815.44	238.3666704	8.02817
4397.16	5815.44	240.5569632	11.6901
4397.16	5815.44	242.046216	17.1831
4397.16	5815.44	243.9064104	20.9859
4397.16	5815.44	245.2716096	18.7324
4397.16	5815.44	246.5334816	20.4225
4397.16	5815.44	247.4506248	22.8169
4397.16	5815.44	248.2022616	31.5493
4397.16	5815.44	248.3125992	27.3239
4397.16	5815.44	249.3394704	38.0282
4397.16	5815.44	250.0844016	34.507
4397.16	5815.44	250.7366736	47.0423
4397.16	5815.44	250.7955	44.7887
4397.16	5815.44	251.3124408	50
4397.16	5815.44	254.5783728	50
4397.16	5815.44	255.8265288	39.7183
4397.16	5815.44	255.935952	48.0282
4397.16	5815.44	257.9073984	35.0704
4397.16	5815.44	261.6101088	30.8451
4397.16	5815.44	263.9366472	29.2958
4397.16	5815.44	267.1653936	30.7042
4397.16	5815.44	270.0789768	31.6901
4397.16	5815.44	272.0272584	32.1127
4397.16	5815.44	274.5848352	34.2254
4397.16	5815.44	277.1274768	36.9014
4397.16	5815.44	277.1677104	35.3521
4397.16	5815.44	278.485056	34.9296
4397.16	5815.44	280.0553856	37.3239
4397.16	5815.44	281.8640688	43.0986
4397.16	5815.44	281.933868	40.4225
4397.16	5815.44	282.4812888	31.9718
4397.16	5815.44	283.1335608	44.507
4397.16	5815.44	283.229268	40.8451
4397.16	5815.44	283.2926664	25.9155
4397.16	5815.44	283.5124272	30
4397.16	5815.44	284.0257104	35.3521
4397.16	5815.44	284.0433888	47.1831
4397.16	5815.44	287.467512	41.1268
4397.16	5815.44	289.412136	41.6901
4397.16	5815.44	290.765448	39.8592
4397.16	5815.44	291.35676	42.2535
4397.16	5815.44	291.70728	28.8732
4397.16	5815.44	292.170576	36.0563
4397.16	5815.44	293.4294	37.8873
4397.16	5815.44	294.651648	28.5915
4397.16	5815.44	295.709304	25.6338
4397.16	5815.44	300.357504	22.6761
4397.16	5815.44	303.618864	22.9577
4397.16	5815.44	306.295008	20.4225
4397.16	5815.44	309.550272	20.8451
4397.16	5815.44	312.08316	23.9437
4397.16	5815.44	313.799184	20.7042
4397.16	5815.44	318.413856	19.1549
4397.16	5815.44	321.693504	18.5915
4397.16	5815.44	329.240352	17.1831
4397.16	5815.44	329.270832	16.0563
4397.16	5815.44	332.157288	18.0282
4397.16	5815.44	333.760536	19.1549
4397.16	5815.44	336.6348	21.6901
4397.16	5815.44	340.603296	19.7183
4397.16	5815.44	340.868472	22.1127
4397.16	5815.44	344.532168	19.4366
4397.16	5815.44	345.781848	21.5493
4397.16	5815.44	348.756696	20.1408
4397.16	5815.44	351.78336	29.2958
4397.16	5815.44	352.203984	25.7746
4397.16	5815.44	352.28628	22.5352
4397.16	5815.44	357.333768	29.4366
4397.16	5815.44	363.539496	29.2958
4397.16	5815.44	369.504432	26.0563
4397.16	5815.44	374.768328	24.507
4397.16	5815.44	379.751808	21.2676
4397.16	5815.44	384.415248	17.7465
4397.16	5815.44	389.7462	13.8028
4397.16	5815.44	397.561272	14.6479
4397.16	5815.44	397.94532	12.3944
4397.16	5815.44	400.50564	14.3662
4397.16	5815.44	402.206424	11.831
4397.16	5815.44	407.10456	11.831
