SBWM-3			
4			
x			
y			
z			
single point			
x utm	y utm	z	single point
4397.16	5815.44	312.7842	17.5637
4397.16	5815.44	319.242912	16.9972
4397.16	5815.44	321.827616	16.4306
4397.16	5815.44	325.046304	18.1303
4397.16	5815.44	325.381584	16.1473
4397.16	5815.44	328.585032	19.5467
4397.16	5815.44	328.920312	17.5637
4397.16	5815.44	332.766888	21.813
4397.16	5815.44	333.75444	18.9802
4397.16	5815.44	337.622352	19.5467
4397.16	5815.44	339.548688	21.5297
4397.16	5815.44	340.853232	18.9802
4397.16	5815.44	341.490264	20.6799
4397.16	5815.44	344.416344	17.2805
4397.16	5815.44	346.64748	21.5297
4397.16	5815.44	348.573816	23.2295
4397.16	5815.44	353.103144	21.5297
4397.16	5815.44	357.94032	22.3796
4397.16	5815.44	361.180344	20.3966
4397.16	5815.44	362.795784	20.1133
4397.16	5815.44	364.392936	22.3796
4397.16	5815.44	368.285232	19.5467
4397.16	5815.44	374.408664	20.9632
4397.16	5815.44	378.950184	17.5637
4397.16	5815.44	381.861024	16.7139
4397.16	5815.44	386.052024	17.2805
4397.16	5815.44	389.605992	16.7139
4397.16	5815.44	392.1846	16.9972
4397.16	5815.44	393.431232	24.0793
4397.16	5815.44	396.71088	15.864
4397.16	5815.44	399.292536	16.1473
4397.16	5815.44	402.19728	16.1473
