SBWM-3			
4			
x			
y			
z			
16 inch			
x utm	y utm	z	16 inch
4397.16	5815.44	-1.12438224	49.8592
4397.16	5815.44	0.50846184	49.8592
4397.16	5815.44	1.82303376	49.4366
4397.16	5815.44	3.8210892	47.4648
4397.16	5815.44	5.52571368	43.8028
4397.16	5815.44	6.588216	39.5775
4397.16	5815.44	7.66178256	34.7887
4397.16	5815.44	8.72428488	30.5634
4397.16	5815.44	9.80611152	25.3521
4397.16	5815.44	10.547568	20.8451
4397.16	5815.44	11.6183304	16.1972
4397.16	5815.44	13.3340496	11.9718
4397.16	5815.44	16.0071456	8.87324
4397.16	5815.44	18.6363504	8.02817
4397.16	5815.44	19.9896624	5.6338
4397.16	5815.44	21.968424	4.64789
4397.16	5815.44	28.8346536	4.22535
4397.16	5815.44	31.7656104	4.64789
4397.16	5815.44	33.7056624	5.6338
4397.16	5815.44	36.0026352	5.07042
4397.16	5815.44	38.2639464	6.33803
4397.16	5815.44	39.910476	5.6338
4397.16	5815.44	42.0419424	13.5211
4397.16	5815.44	42.4732344	8.16901
4397.16	5815.44	44.7455184	8.87324
4397.16	5815.44	46.7520168	6.47887
4397.16	5815.44	48.9413952	11.4085
4397.16	5815.44	49.6939464	6.33803
4397.16	5815.44	52.0238376	4.08451
4397.16	5815.44	54.9160848	6.47887
4397.16	5815.44	56.6235744	2.67606
4397.16	5815.44	58.1073408	10.2817
4397.16	5815.44	58.1902464	6.05634
4397.16	5815.44	58.340208	15.0704
4397.16	5815.44	59.7465552	26.6197
4397.16	5815.44	59.8654272	20.5634
4397.16	5815.44	60.6822912	28.8732
4397.16	5815.44	62.389476	25.0704
4397.16	5815.44	63.5772816	31.1268
4397.16	5815.44	63.809844	35.9155
4397.16	5815.44	64.6986408	40.5634
4397.16	5815.44	65.7913488	34.7887
4397.16	5815.44	66.2339184	28.8732
4397.16	5815.44	66.3665064	22.1127
4397.16	5815.44	66.4741008	16.6197
4397.16	5815.44	67.1989152	12.9577
4397.16	5815.44	68.8896408	10
4397.16	5815.44	70.8245112	11.2676
4397.16	5815.44	72.8002248	10.4225
4397.16	5815.44	73.37904	14.2254
4397.16	5815.44	75.9558192	16.0563
4397.16	5815.44	77.214948	18.4507
4397.16	5815.44	79.7917272	20.2817
4397.16	5815.44	82.3602768	22.5352
4397.16	5815.44	83.6306832	24.3662
4397.16	5815.44	86.2650696	23.2394
4397.16	5815.44	86.9017968	24.0845
4397.16	5815.44	91.2659232	18.0282
4397.16	5815.44	91.379004	12.2535
4397.16	5815.44	91.4341728	9.43662
4397.16	5815.44	91.5234792	21.5493
4397.16	5815.44	91.6588104	14.6479
4397.16	5815.44	93.119412	6.76056
4397.16	5815.44	95.001552	10.7042
4397.16	5815.44	96.8782056	14.9296
4397.16	5815.44	97.4926824	16.9014
4397.16	5815.44	99.8119056	15.2113
4397.16	5815.44	100.1246304	15.9155
4397.16	5815.44	101.5773072	8.4507
4397.16	5815.44	102.2829192	5.77465
4397.16	5815.44	105.2166192	6.05634
4397.16	5815.44	105.7869	10.2817
4397.16	5815.44	106.5318312	22.2535
4397.16	5815.44	106.9744008	16.338
4397.16	5815.44	108.0323616	29.0141
4397.16	5815.44	108.7958856	23.3803
4397.16	5815.44	109.279908	15.3521
4397.16	5815.44	111.7460448	22.8169
4397.16	5815.44	112.1858712	17.0423
4397.16	5815.44	112.5757104	13.8028
4397.16	5815.44	114.31368	8.4507
4397.16	5815.44	114.6678576	7.04225
4397.16	5815.44	116.7853032	15.6338
4397.16	5815.44	117.9785952	21.4085
4397.16	5815.44	118.2020136	10
4397.16	5815.44	119.1688392	27.3239
4397.16	5815.44	121.2332496	21.9718
4397.16	5815.44	122.8081512	24.9296
4397.16	5815.44	125.0664144	26.338
4397.16	5815.44	128.3597784	24.9296
4397.16	5815.44	129.0763632	21.6901
