DEPT,RILD,RILM,GR,FRES,TMP
F,,,,OHMM,DEGF
62.5,0.59652,0.29167,61.771,2.949,64.933
63.0,0.63423,0.29167,59.58,2.948,64.933
63.5,0.66949,0.29167,59.157,2.947,64.933
64.0,0.69211,0.29165,59.601,2.946,64.933
64.5,0.67952,0.29161,62.475,2.945,64.933
65.0,0.58012,0.29146,65.345,2.945,64.933
65.5,0.48206,0.29159,69.01,2.944,64.933
66.0,0.38148,0.29174,74.588,2.943,64.933
66.5,0.29778,0.31964,80.047,2.942,64.933
67.0,0.22694,0.34722,85.401,2.941,64.933
67.5,0.38652,0.71925,88.375,2.94,64.933
68.0,0.63439,1.0417,88.677,2.939,64.933
68.5,1.6684,5.0694,87.723,2.939,64.933
69.0,4.1589,8.2917,82.811,2.941,64.933
69.5,7.9353,14.9,76.901,2.947,64.933
70.0,9.0417,19.624,71.157,2.954,64.933
70.5,19.625,19.801,68.155,2.961,64.916
71.0,20.458,19.962,67.987,2.968,64.812
71.5,21.706,20.13,72.456,2.983,64.707
72.0,23.488,22.64,80.76,3.001,64.603
72.5,25.269,25.349,91.047,3.02,64.498
73.0,26.375,28.051,102.07,3.038,64.394
73.5,27.625,30.754,109.03,3.056,64.289
74.0,28.125,32.325,111.88,3.074,64.172
74.5,27.638,32.2,106.71,3.092,64.055
75.0,27.209,32.07,101.8,3.111,63.937
75.5,26.779,31.965,98.939,3.129,63.82
76.0,26.35,31.898,99.913,3.147,63.703
76.5,25.921,33.214,101.15,3.165,63.586
77.0,25.489,34.425,101.96,3.184,63.468
77.5,25.375,35.95,96.807,3.191,63.351
78.0,25.625,36.851,92.938,3.199,63.234
78.5,25.804,36.194,92.274,3.206,63.13
79.0,25.846,35.464,96.773,3.214,63.098
79.5,25.795,34.743,99.695,3.221,63.065
80.0,25.743,34.172,98.051,3.225,63.033
80.5,25.689,34.897,96.406,3.228,63.001
81.0,25.633,35.569,103.54,3.231,62.968
81.5,25.77,36.141,107.3,3.235,62.957
82.0,25.96,36.014,104.69,3.238,62.946
82.5,26.175,35.807,97.544,3.241,62.936
83.0,27.302,38.784,92.666,3.245,62.925
83.5,27.835,41.511,92.394,3.248,62.914
84.0,27.675,43.875,98.772,3.251,62.904
84.5,27.843,41.75,103.95,3.255,62.893
85.0,28.191,39.375,106.49,3.258,62.883
85.5,28.529,41.143,104.65,3.261,62.872
86.0,28.87,43.875,100.05,3.265,62.861
86.5,29.081,42.625,97.493,3.268,62.851
87.0,27.655,41.183,95.38,3.271,62.84
87.5,26.544,39.74,97.34,3.275,62.829
88.0,25.795,38.2,99.224,3.278,62.819
88.5,25.635,36.625,99.011,3.281,62.803
89.0,25.467,34.352,99.028,3.285,62.784
89.5,25.056,32.222,100.47,3.288,62.764
90.0,24.71,30.375,101.46,3.291,62.745
90.5,24.381,29.619,100.4,3.295,62.725
91.0,24.173,28.932,106.35,3.298,62.706
91.5,24.615,28.273,112.98,3.301,62.687
92.0,25.812,27.864,114.19,3.305,62.667
92.5,27.014,30.112,108.75,3.308,62.648
93.0,28.21,32.493,96.847,3.311,62.628
93.5,29.378,35.982,89.566,3.315,62.609
94.0,30.09,41.261,90.334,3.318,62.589
94.5,28.648,44.839,92.243,3.321,62.57
95.0,27.623,40.964,90.358,3.325,62.55
95.5,26.578,38.518,86.216,3.328,62.531
96.0,25.509,37.982,81.011,3.331,62.511
96.5,25.12,37.246,75.47,3.335,62.492
97.0,25.271,36.107,74.235,3.338,62.472
97.5,25.351,34.969,77.969,3.341,62.453
98.0,25.431,33.83,83.412,3.345,62.434
98.5,25.52,32.71,88.624,3.348,62.414
99.0,25.613,31.602,89.009,3.355,62.395
99.5,25.44,30.494,83.51,3.368,62.375
100.0,25.195,30.029,81.935,3.382,62.356
100.5,24.946,29.885,78.162,3.395,62.335
101.0,24.693,29.751,75.441,3.408,62.304
101.5,24.424,29.645,72.742,3.422,62.273
102.0,25.075,29.763,70.044,3.435,62.242
102.5,26.097,29.939,67.309,3.449,62.211
103.0,26.91,31.946,66.538,3.461,62.18
103.5,26.866,33.899,71.33,3.474,62.149
104.0,26.194,35.057,74.849,3.486,62.118
104.5,25.469,32.499,76.029,3.498,62.087
105.0,24.744,30.609,70.945,3.51,62.056
105.5,24.019,29.878,69.775,3.522,62.025
106.0,23.294,29.518,70.522,3.532,61.994
106.5,22.565,28.427,71.245,3.538,61.963
107.0,21.837,26.845,74.046,3.544,61.966
107.5,21.1,25.273,76.544,3.55,61.969
108.0,20.574,23.672,77.953,3.546,61.972
108.5,19.908,21.41,74.242,3.543,61.975
109.0,19.303,17.764,72.991,3.539,61.985
109.5,9.8157,14.118,74.209,3.536,62.001
110.0,18.238,9.9861,76.671,3.532,62.017
110.5,9.0542,9.5608,82.534,3.524,62.033
111.0,8.9539,9.2222,88.466,3.513,62.048
111.5,9.0185,9.0093,92.232,3.502,62.064
112.0,9.2563,8.9861,92.647,3.492,62.08
112.5,9.5783,9.4878,89.784,3.481,62.096
113.0,9.9003,9.9306,87.215,3.471,62.114
113.5,12.637,20.375,89.586,3.46,62.133
114.0,16.251,21.219,94.795,3.449,62.153
114.5,19.625,21.375,97.951,3.439,62.172
115.0,19.375,21.0,95.247,3.428,62.192
115.5,19.455,20.625,88.65,3.418,62.211
116.0,19.857,21.01,83.968,3.407,62.231
116.5,20.128,21.585,84.277,3.396,62.25
