DEPT,RILD,RILM,GR,SP,FRES,TMP
F,,,,,OHMM,DEGF
6.0,62.639,90.139,53.38,-204.99,nan,nan
6.5,67.639,191.25,49.778,-203.99,nan,nan
7.0,68.188,188.6,49.771,-204.32,nan,nan
7.5,68.173,203.31,50.035,-204.22,nan,nan
8.0,70.051,193.73,52.19,-203.95,nan,nan
8.5,70.734,99.861,52.161,-203.68,nan,nan
9.0,70.73,191.25,52.798,-203.41,nan,nan
9.5,70.111,130.83,52.895,-203.48,nan,nan
10.0,68.808,94.028,52.502,-203.71,nan,nan
10.5,67.653,182.65,52.554,-203.88,nan,nan
11.0,70.005,233.64,53.519,-203.88,nan,nan
11.5,74.482,276.24,55.948,-203.88,nan,nan
12.0,74.037,244.47,58.337,-203.88,nan,nan
12.5,72.422,203.27,59.579,-203.83,nan,nan
13.0,69.907,79.067,57.13,-203.39,nan,nan
13.5,65.926,59.758,54.617,-203.26,nan,nan
14.0,64.324,57.491,55.25,-202.97,nan,nan
14.5,65.131,61.499,58.932,-203.06,nan,nan
15.0,65.487,54.759,62.955,-201.32,nan,nan
15.5,66.204,52.881,62.855,-202.07,nan,nan
16.0,65.838,53.87,60.314,-197.7,nan,nan
16.5,64.88,55.273,57.849,-196.61,nan,nan
17.0,63.928,54.953,57.311,-197.2,nan,nan
17.5,62.977,53.483,57.698,-194.53,nan,nan
18.0,62.026,51.32,56.573,-195.2,nan,nan
18.5,61.083,51.766,54.514,-195.93,nan,nan
19.0,61.171,50.136,53.792,-196.12,nan,nan
19.5,61.978,49.443,53.796,-196.29,nan,nan
20.0,62.537,47.874,53.932,-195.55,nan,nan
20.5,63.623,47.896,54.442,-195.26,nan,nan
21.0,63.964,48.716,56.38,-197.23,nan,nan
21.5,63.201,57.944,56.676,-199.19,nan,nan
22.0,61.789,60.05,54.172,-201.76,nan,nan
22.5,60.517,55.609,52.071,-204.44,nan,nan
23.0,61.276,59.816,53.46,-204.47,nan,nan
23.5,61.029,64.5,55.826,-204.52,nan,nan
24.0,61.944,65.143,55.868,-204.57,nan,nan
24.5,62.837,69.706,54.322,-204.62,nan,nan
25.0,63.725,73.812,56.373,-204.66,nan,nan
25.5,64.031,75.94,58.866,-204.71,nan,nan
26.0,64.009,74.099,58.274,-204.76,nan,nan
26.5,65.234,77.355,54.607,-204.81,nan,nan
27.0,64.376,86.888,51.083,-204.86,nan,nan
27.5,63.246,74.98,49.748,-204.91,nan,nan
28.0,63.878,131.57,52.215,-204.96,nan,nan
28.5,64.498,214.9,56.567,-205.01,nan,nan
29.0,65.916,221.25,58.551,-205.06,nan,nan
29.5,67.375,206.56,56.502,-205.11,nan,nan
30.0,68.892,223.8,53.25,-205.16,nan,nan
30.5,67.089,206.97,51.546,-205.21,nan,nan
31.0,65.839,106.67,50.611,-205.25,nan,nan
31.5,66.554,102.61,50.582,-205.3,nan,nan
32.0,67.899,212.38,49.218,-205.35,nan,nan
32.5,69.256,218.75,48.385,-205.4,nan,nan
33.0,68.409,193.34,49.544,-205.45,nan,nan
33.5,66.946,194.79,49.885,-205.5,nan,nan
34.0,64.998,89.262,46.362,-205.52,nan,nan
34.5,63.348,91.119,41.453,-205.39,nan,nan
35.0,62.025,82.145,40.362,-205.26,nan,nan
35.5,62.43,79.354,42.148,-205.14,nan,nan
36.0,64.492,78.093,43.359,-205.02,nan,nan
36.5,63.997,77.152,41.031,-202.1,nan,nan
37.0,64.021,76.108,38.824,-193.96,nan,nan
37.5,64.56,82.581,37.761,-180.8,nan,nan
38.0,63.467,72.358,39.502,-175.19,nan,nan
38.5,62.276,68.889,42.861,-169.67,nan,nan
39.0,61.092,69.086,45.044,-169.8,nan,nan
39.5,60.334,68.69,45.564,-170.21,nan,nan
40.0,59.629,71.537,42.985,-173.18,nan,nan
40.5,57.928,72.01,39.738,-182.93,nan,nan
41.0,54.911,63.0,37.863,-192.27,nan,nan
41.5,52.016,58.866,39.395,-192.38,nan,nan
42.0,51.561,51.944,44.624,-184.44,nan,nan
42.5,52.551,48.362,47.81,-168.9,nan,nan
43.0,53.36,42.472,45.786,-160.65,nan,nan
43.5,47.548,34.207,42.597,-168.51,nan,nan
44.0,39.789,25.163,40.268,-162.98,nan,nan
44.5,34.385,24.096,39.806,-185.69,nan,nan
45.0,33.986,24.761,39.247,-186.98,nan,nan
45.5,32.665,23.542,39.821,-192.68,nan,nan
46.0,31.311,21.829,38.652,-191.47,nan,nan
46.5,30.318,22.108,36.793,-194.52,nan,nan
47.0,29.639,22.098,37.114,-196.98,nan,nan
47.5,28.93,20.452,38.32,-194.42,nan,nan
48.0,28.062,19.055,37.694,-191.29,nan,nan
48.5,27.281,18.184,37.31,-191.39,nan,nan
49.0,25.901,16.568,39.007,-203.12,nan,nan
49.5,23.619,14.893,45.935,-204.56,nan,nan
50.0,21.671,14.397,53.152,-204.71,nan,nan
50.5,21.023,14.154,55.875,-204.87,nan,nan
51.0,20.376,13.738,56.69,-204.95,nan,nan
51.5,19.727,13.156,55.539,-204.78,nan,nan
52.0,19.078,12.626,54.732,-204.64,nan,nan
52.5,18.463,12.37,54.637,-204.23,nan,nan
53.0,18.096,12.594,54.527,-175.81,nan,nan
53.5,17.745,12.829,52.365,-103.23,nan,nan
54.0,17.755,12.948,49.521,16.644,nan,nan
54.5,17.925,13.144,46.724,35.134,nan,nan
55.0,18.096,13.582,43.111,38.728,nan,nan
