DEPT,RILD,RILM,GR,SP,FRES,TMP
F,,,,,OHMM,DEGF
2.0,32.271,23.961,65.518,-15.924,nan,nan
2.5,32.271,23.961,65.518,-15.924,nan,nan
3.0,32.191,23.905,65.498,-15.921,nan,nan
3.5,38.835,28.386,64.098,-15.924,nan,nan
4.0,44.85,35.894,61.488,-15.924,nan,nan
4.5,50.835,43.19,57.733,-15.924,nan,nan
5.0,55.49,50.057,54.282,-15.924,nan,nan
5.5,58.586,53.781,54.286,-15.924,nan,nan
6.0,60.83,57.369,57.633,-15.924,nan,nan
6.5,63.053,64.26,61.144,-15.924,nan,nan
7.0,65.278,58.563,63.715,-15.924,nan,nan
7.5,68.513,41.034,61.571,-15.924,nan,nan
8.0,72.971,37.14,56.747,-15.924,nan,nan
8.5,77.593,61.997,53.696,-15.924,nan,nan
9.0,79.335,239.3,53.836,-15.924,nan,nan
9.5,79.366,154.13,58.168,-15.924,nan,nan
10.0,78.253,87.15,60.153,-15.924,nan,nan
10.5,75.638,64.994,60.637,-15.924,nan,nan
11.0,73.51,64.647,58.852,-15.924,nan,nan
11.5,72.686,60.963,56.293,-15.924,nan,nan
12.0,72.805,60.305,52.873,-15.924,nan,nan
12.5,73.545,62.471,52.121,-15.924,nan,nan
13.0,72.013,62.552,53.722,-15.924,nan,nan
13.5,68.836,59.516,53.244,-15.924,nan,nan
14.0,65.674,52.235,54.077,-15.924,nan,nan
14.5,63.394,44.39,58.507,-15.924,nan,nan
15.0,61.721,37.147,66.874,-15.924,nan,nan
15.5,57.501,30.377,74.954,-15.924,nan,nan
16.0,50.428,24.784,79.593,-15.924,nan,nan
16.5,43.348,20.596,82.876,-15.924,nan,nan
17.0,38.107,18.316,84.249,-15.924,nan,nan
17.5,34.786,17.757,84.541,-15.924,nan,nan
18.0,33.387,17.164,80.689,-15.924,nan,nan
18.5,33.683,16.901,79.386,-15.924,nan,nan
19.0,33.995,17.359,79.755,-15.924,nan,nan
19.5,34.334,17.804,80.455,-15.924,nan,nan
20.0,35.18,18.876,79.643,-15.924,nan,nan
20.5,36.319,20.212,78.551,-15.924,nan,nan
21.0,39.37,23.058,80.114,-15.924,nan,nan
21.5,43.83,28.395,81.726,-15.924,nan,nan
22.0,49.437,35.744,85.876,-15.924,nan,nan
22.5,55.136,44.806,90.333,-15.924,nan,nan
23.0,61.753,49.682,91.36,-15.924,nan,nan
23.5,65.499,46.45,84.919,-15.924,nan,nan
24.0,66.156,40.04,77.162,-15.924,nan,nan
24.5,66.318,36.084,69.974,-15.924,nan,nan
25.0,65.091,32.775,66.347,-15.924,nan,nan
25.5,63.157,31.992,66.52,-15.924,nan,nan
26.0,60.884,31.218,68.615,-15.75,nan,nan
26.5,58.612,30.706,70.22,-29.849,nan,nan
27.0,56.354,29.701,68.573,32.915,nan,nan
27.5,55.079,30.181,65.382,77.183,nan,nan
28.0,54.735,30.999,62.202,84.203,nan,nan
28.5,54.414,31.346,63.602,88.802,nan,nan
29.0,55.239,30.994,66.816,93.223,nan,nan
29.5,55.827,30.719,69.589,96.685,nan,nan
30.0,54.769,30.988,66.692,88.864,nan,nan
30.5,52.9,30.213,65.539,68.32,nan,nan
31.0,50.473,28.678,66.626,33.604,nan,nan
31.5,46.646,27.188,63.642,43.055,nan,nan
32.0,43.833,26.489,58.357,54.816,nan,nan
32.5,41.764,25.769,58.693,42.617,nan,nan
33.0,39.691,25.04,60.139,38.769,nan,nan
33.5,38.278,23.546,62.222,11.967,nan,nan
34.0,36.638,22.063,64.157,25.912,nan,nan
34.5,33.532,20.769,63.411,44.728,nan,nan
35.0,30.464,20.123,60.497,51.276,nan,nan
35.5,26.221,19.391,56.572,34.269,nan,nan
36.0,22.846,17.851,55.54,49.658,nan,nan
36.5,20.768,16.253,56.839,0.88529,nan,nan
37.0,19.295,15.719,59.454,-16.903,nan,nan
37.5,18.408,15.198,63.364,67.543,nan,nan
38.0,18.095,14.821,65.767,106.67,nan,nan
38.5,17.924,14.958,64.594,112.14,nan,nan
39.0,19.773,15.122,58.103,111.36,nan,nan
39.5,24.886,16.641,54.841,110.38,nan,nan
40.0,30.461,18.966,53.393,109.27,9.297,60.161
40.5,36.053,22.371,53.802,108.17,9.251,60.11
41.0,40.747,25.49,55.909,107.16,9.204,60.059
41.5,43.01,26.543,57.268,106.26,9.158,60.029
42.0,42.05,27.076,57.656,105.35,9.095,59.999
42.5,40.884,27.274,57.591,102.69,9.031,59.969
43.0,39.251,26.995,58.123,101.63,8.922,59.939
43.5,37.181,26.654,56.646,100.58,8.782,59.909
44.0,35.082,26.155,54.396,99.603,8.642,59.879
44.5,33.923,25.661,54.631,98.707,8.502,59.849
45.0,32.912,25.036,57.022,97.809,8.362,59.819
45.5,31.902,24.171,57.455,96.909,8.222,59.789
46.0,30.891,23.307,53.988,95.862,8.082,59.759
46.5,29.883,22.427,50.107,94.758,7.943,59.729
47.0,28.859,21.414,46.534,93.657,7.803,59.699
47.5,27.826,20.406,45.969,92.563,7.663,59.669
48.0,26.68,19.398,49.129,91.468,7.523,59.639
48.5,25.107,18.389,54.759,90.374,7.383,59.604
49.0,23.537,17.402,57.348,89.279,7.243,59.564
49.5,21.964,16.373,56.552,88.184,7.103,59.524
50.0,20.362,15.363,55.549,87.091,6.963,59.484
50.5,19.445,14.353,56.051,86.379,6.829,59.444
51.0,18.645,13.343,54.122,85.694,6.722,59.403
51.5,17.846,12.4,54.771,85.01,6.719,59.396
52.0,17.046,11.633,61.49,84.326,6.717,59.392
52.5,16.249,10.866,68.838,83.642,6.714,59.416
53.0,15.771,10.585,73.6,82.958,6.712,59.445
53.5,15.512,10.48,73.691,82.273,6.709,59.474
54.0,15.35,10.374,65.318,81.59,6.707,59.503
54.5,15.296,10.267,59.875,80.906,6.704,59.508
55.0,15.243,10.162,59.173,80.022,6.702,59.513
55.5,15.189,10.332,62.531,79.06,6.699,59.519
56.0,15.136,10.748,65.71,78.098,6.697,59.524
56.5,15.064,11.166,65.509,77.137,6.694,59.529
57.0,14.938,11.375,60.726,76.19,6.692,59.53
57.5,14.812,11.557,57.583,75.285,6.689,59.528
58.0,14.687,11.745,56.328,74.405,6.687,59.525
58.5,14.572,11.442,55.977,73.524,6.688,59.523
59.0,13.705,11.024,54.573,72.643,6.703,59.521
59.5,12.739,10.055,55.5,71.761,6.718,59.519
60.0,11.773,8.9233,58.674,70.877,6.732,59.517
60.5,10.806,8.2278,62.285,70.16,6.747,59.515
61.0,9.8406,7.6039,64.244,69.966,6.762,59.512
61.5,8.9381,7.0157,65.331,69.834,6.777,59.51
62.0,8.5311,6.701,64.44,70.325,6.791,59.508
62.5,8.1155,6.3815,61.37,70.704,6.795,59.506
63.0,7.6901,6.0628,59.07,70.921,6.79,59.504
63.5,7.5716,5.9318,62.308,70.637,6.786,59.502
64.0,7.5137,5.8997,65.999,69.519,6.782,59.5
64.5,7.4561,5.8663,67.118,68.869,6.778,59.497
65.0,7.3985,5.8328,64.467,68.702,6.774,59.495
65.5,7.3418,5.7993,65.581,68.53,6.77,59.493
66.0,7.3408,5.7658,66.455,68.136,6.766,59.491
66.5,7.3407,5.7323,66.892,67.725,6.762,59.489
67.0,7.3407,5.6984,62.681,67.315,6.758,59.487
67.5,7.3407,5.7267,59.664,66.904,6.754,59.484
68.0,7.3402,5.8449,60.146,66.494,6.75,59.482
68.5,7.4365,5.9636,63.245,66.084,6.746,59.48
69.0,7.6731,6.0821,66.326,65.259,6.742,59.478
69.5,7.9106,6.2007,67.085,64.341,6.738,59.476
70.0,8.1477,6.4225,67.203,63.429,6.734,59.475
70.5,8.385,6.6827,67.201,63.468,6.729,59.475
71.0,8.7685,6.9425,63.954,63.081,6.725,59.475
71.5,9.2068,7.3662,59.036,62.702,6.721,59.475
72.0,9.6443,7.9326,57.164,62.325,6.717,59.475
72.5,10.082,8.4973,62.227,61.947,6.713,59.476
73.0,10.518,8.7269,66.374,61.569,6.709,59.476
73.5,10.503,8.7258,69.078,61.192,6.705,59.476
74.0,10.253,8.724,70.486,60.63,6.703,59.476
74.5,10.005,8.4086,71.705,59.798,6.701,59.476
75.0,9.7579,7.8166,70.761,58.964,6.7,59.476
75.5,9.5103,7.4769,71.025,58.131,6.698,59.476
76.0,9.2729,7.2712,72.829,57.293,6.696,59.476
76.5,9.0399,7.0636,75.354,56.899,6.695,59.476
77.0,8.8156,6.8563,76.612,56.569,6.693,59.477
77.5,8.591,6.6478,74.222,56.138,6.692,59.477
78.0,8.3665,6.4406,70.019,55.51,6.69,59.477
78.5,8.1617,6.2367,66.974,54.88,6.688,59.477
79.0,8.1085,6.2329,67.83,54.251,6.687,59.477
79.5,8.053,6.2327,69.631,53.667,6.685,59.477
80.0,7.9974,6.2327,69.403,53.184,6.684,59.477
80.5,7.9417,6.2326,68.917,52.699,6.682,59.477
81.0,7.8861,6.2339,67.092,52.213,6.681,59.477
81.5,7.8304,6.5095,64.762,51.808,6.679,59.477
82.0,7.7748,6.7825,61.132,51.414,6.677,59.478
82.5,7.7191,6.6924,61.46,51.487,6.676,59.478
83.0,7.6635,6.604,62.972,51.589,6.674,59.478
83.5,7.6078,6.5156,67.203,50.277,6.673,59.478
84.0,7.5522,6.4272,69.668,49.835,6.671,59.478
84.5,7.4965,6.3386,70.928,50.251,6.669,59.478
85.0,7.4408,6.248,68.887,50.005,6.668,59.478
85.5,7.3852,6.2327,66.351,49.108,6.666,59.478
86.0,7.3508,6.2327,62.36,48.619,6.665,59.478
86.5,7.4138,6.2327,59.682,48.369,6.663,59.479
87.0,7.4752,6.2327,57.344,48.117,6.661,59.479
87.5,7.5363,6.2327,55.187,47.884,6.66,59.479
88.0,7.5974,6.2327,54.916,47.693,6.658,59.479
88.5,7.6585,6.2327,57.76,47.502,6.657,59.479
89.0,7.7196,6.2327,59.529,47.312,6.655,59.479
89.5,7.7807,6.2327,59.096,47.131,6.653,59.479
90.0,7.8418,6.2327,56.744,46.497,6.652,59.479
90.5,7.9164,6.2326,52.536,45.849,6.65,59.479
91.0,8.0881,6.2327,50.828,45.841,6.649,59.479
91.5,8.259,6.3495,53.705,45.84,6.647,59.48
92.0,8.4298,6.5261,61.593,45.84,6.645,59.48
92.5,8.6005,6.7022,67.544,45.838,6.644,59.48
93.0,8.7713,6.8783,69.041,45.664,6.642,59.48
