DEPT,RILM,RILD,GR,SP,FRES,TMP
F,,,,,OHMM,DEGF
93.5,12.649,19.121,57.302,11.176,7.844,61.34
94.0,13.687,20.633,52.721,10.276,7.858,61.334
94.5,16.691,22.85,48.036,9.6313,7.872,61.328
95.0,21.007,26.04,47.378,9.6307,7.886,61.322
95.5,28.41,31.303,47.94,10.145,7.9,61.316
96.0,39.925,37.276,48.034,10.977,7.914,61.31
96.5,55.916,67.332,47.243,12.006,7.928,61.304
97.0,70.693,96.031,49.017,13.243,7.942,61.297
97.5,86.227,101.78,51.106,14.5,7.958,61.291
98.0,103.61,105.74,52.161,14.955,7.976,61.285
98.5,108.09,108.12,52.854,15.304,7.994,61.28
99.0,111.56,110.39,53.544,15.651,8.012,61.278
99.5,112.56,112.94,53.635,16.0,8.03,61.276
100.0,115.96,105.8,52.463,16.352,8.048,61.274
100.5,112.14,100.35,49.89,16.291,8.066,61.272
101.0,100.37,95.625,48.138,15.104,8.073,61.27
101.5,85.692,49.931,50.26,13.919,8.077,61.268
102.0,81.265,95.719,53.401,13.009,8.081,61.266
102.5,76.884,95.664,54.026,13.246,8.086,61.264
103.0,75.707,95.625,50.641,13.466,8.087,61.262
103.5,75.872,95.625,45.163,12.448,8.087,61.261
104.0,85.11,95.695,41.167,11.036,8.087,61.259
104.5,89.6,95.625,43.164,9.3613,8.087,61.257
105.0,87.5,49.931,50.687,7.4324,8.087,61.255
105.5,85.406,47.324,55.34,7.4148,8.087,61.253
106.0,85.422,46.056,53.888,7.9444,8.087,61.254
106.5,88.875,45.424,53.488,7.569,8.087,61.257
107.0,94.949,45.734,57.972,5.9785,8.087,61.261
107.5,92.314,46.051,61.614,4.4598,8.087,61.264
108.0,82.561,46.591,62.349,3.4418,8.087,61.268
108.5,83.225,47.516,59.559,2.4632,8.087,61.271
109.0,83.826,100.0,58.091,1.8973,8.089,61.275
109.5,73.265,103.12,58.97,2.0517,8.091,61.278
110.0,75.127,100.52,60.89,1.7559,8.094,61.282
110.5,78.225,95.762,60.281,1.1707,8.097,61.285
111.0,79.744,102.19,59.756,0.61932,8.093,61.288
111.5,75.425,45.577,59.51,0.19172,8.088,61.292
112.0,72.399,41.646,57.405,0.95358,8.083,61.295
112.5,69.355,40.297,55.251,1.9567,8.078,61.299
113.0,67.465,40.078,55.347,2.9576,8.073,61.302
113.5,70.823,40.477,57.06,3.852,8.067,61.306
114.0,75.087,40.963,56.838,4.1933,8.062,61.309
114.5,79.97,41.45,56.249,4.1466,8.057,61.313
115.0,81.263,41.939,52.534,3.7972,8.052,61.316
115.5,81.252,42.18,49.955,3.817,8.047,61.32
