DEPT,RILD,RILM,GR,SP,FRES,TMP
F,,,,,OHMM,DEGF
2.0,0.45265,0.25766,29.306,-198.61,nan,nan
2.5,0.46196,0.25766,29.306,-198.61,nan,nan
3.0,0.4624,0.25761,29.154,-198.57,nan,nan
3.5,0.49351,0.25766,28.225,-198.61,nan,nan
4.0,0.48961,0.25766,28.472,-198.61,nan,nan
4.5,0.48472,0.25766,28.311,-198.61,nan,nan
5.0,0.47811,0.25766,28.232,-198.61,nan,nan
5.5,0.45995,0.25766,28.109,-198.61,nan,nan
6.0,0.44196,0.25766,28.144,-198.61,nan,nan
6.5,0.42495,0.25766,29.428,-198.61,nan,nan
7.0,0.42479,0.25766,30.609,-198.61,nan,nan
7.5,0.42479,0.25766,32.147,-198.61,nan,nan
8.0,0.42479,0.25766,33.392,-198.61,nan,nan
8.5,0.42479,0.25766,34.098,-198.61,nan,nan
9.0,0.42365,0.25766,34.025,-198.61,nan,nan
9.5,0.42126,0.25766,31.92,-198.61,nan,nan
10.0,0.41885,0.25766,29.757,-198.61,nan,nan
10.5,0.41645,0.25766,29.136,-198.61,nan,nan
11.0,0.41404,0.25766,30.671,-198.61,nan,nan
11.5,0.41164,0.25766,32.202,-198.61,nan,nan
12.0,0.41291,0.25766,33.93,-198.61,nan,nan
12.5,0.41597,0.25768,37.007,-198.61,nan,nan
13.0,0.41901,0.25617,37.887,-198.61,nan,nan
13.5,0.42206,0.25429,35.025,-198.61,nan,nan
14.0,0.42568,0.25241,31.516,-198.61,nan,nan
14.5,0.43431,0.25052,28.222,-198.61,nan,nan
15.0,0.43328,0.24864,28.457,-198.61,nan,nan
15.5,0.40176,0.24676,28.458,-198.61,nan,nan
16.0,0.31514,0.24486,29.537,-198.61,nan,nan
16.5,0.25415,0.24695,35.472,-198.61,nan,nan
17.0,0.22278,0.25556,43.219,-198.61,nan,nan
17.5,0.2469,0.35417,49.158,-198.61,nan,nan
18.0,0.32579,2.0618,51.379,-198.61,nan,nan
18.5,0.68448,3.8302,51.003,-198.61,nan,nan
19.0,1.6209,5.5754,49.742,-198.61,nan,nan
19.5,4.8972,9.3431,48.02,-198.61,nan,nan
20.0,6.905,20.108,46.93,-198.61,nan,nan
20.5,8.9871,37.796,50.905,-198.61,nan,nan
21.0,9.9612,49.93,53.513,-198.61,nan,nan
21.5,10.535,49.93,54.839,-198.61,nan,nan
22.0,10.781,49.941,53.748,-198.61,nan,nan
22.5,10.548,50.01,52.507,-198.61,nan,nan
23.0,10.368,50.019,51.443,-198.61,nan,nan
23.5,10.088,36.56,53.75,-198.61,nan,nan
24.0,9.7238,49.93,59.14,-198.61,nan,nan
24.5,9.5607,49.93,62.695,-198.61,nan,nan
25.0,9.9286,49.93,61.48,-198.61,nan,nan
25.5,10.188,49.93,60.96,-198.61,nan,nan
26.0,10.377,49.93,63.212,-198.61,nan,nan
26.5,10.376,49.93,64.839,-198.61,nan,nan
27.0,10.376,49.93,65.727,-198.61,nan,nan
27.5,10.376,49.93,67.566,-198.61,nan,nan
28.0,10.374,49.93,69.069,-198.61,nan,nan
28.5,10.498,49.93,69.069,-198.61,nan,nan
29.0,10.646,49.93,68.402,-198.61,nan,nan
29.5,10.794,49.93,69.915,-198.61,nan,nan
30.0,10.941,49.93,72.233,-198.61,nan,nan
30.5,11.083,49.93,70.066,-198.61,nan,nan
31.0,10.516,49.93,66.966,-198.57,nan,nan
31.5,9.7836,50.049,63.012,-195.35,nan,nan
32.0,9.0262,50.392,59.774,-146.4,nan,nan
32.5,8.174,27.292,59.635,-112.84,nan,nan
33.0,7.9125,18.558,61.457,-101.72,nan,nan
33.5,7.6657,14.723,61.603,-93.88,nan,nan
34.0,7.4182,13.05,56.221,-65.445,nan,nan
34.5,7.3116,12.395,51.403,-53.606,nan,nan
35.0,7.3113,11.686,45.433,-52.806,nan,nan
35.5,7.3043,10.846,41.517,-53.376,nan,nan
36.0,7.7438,10.388,40.196,-53.95,nan,nan
36.5,8.2321,11.243,42.651,-54.384,nan,nan
37.0,8.7664,13.027,45.692,-54.725,nan,nan
37.5,9.386,15.154,46.69,-55.072,nan,nan
38.0,10.007,17.096,46.874,-55.575,nan,nan
38.5,10.63,17.886,44.948,-56.306,nan,nan
39.0,11.074,17.882,44.216,-56.117,nan,nan
39.5,11.073,15.94,44.137,-56.844,nan,nan
40.0,11.073,14.832,45.312,-58.196,3.868,61.637
40.5,11.049,14.146,46.666,-59.572,3.834,61.651
41.0,10.975,13.452,47.477,-60.949,3.799,61.664
41.5,10.804,13.063,49.319,-62.326,3.762,61.678
42.0,10.517,12.674,51.563,-63.624,3.724,61.666
42.5,10.243,12.286,52.538,-63.886,3.687,61.624
43.0,10.024,11.899,52.287,-64.129,3.649,61.583
43.5,9.8684,11.648,49.791,-64.969,3.612,61.542
44.0,9.7114,11.469,47.039,-65.841,3.575,61.5
44.5,9.7801,11.289,44.944,-66.715,3.546,61.459
45.0,9.9098,11.023,44.39,-67.589,3.536,61.418
45.5,10.037,10.692,43.752,-68.464,3.526,61.376
46.0,9.9169,10.361,42.969,-69.338,3.518,61.335
46.5,9.5874,10.018,43.297,-70.211,3.522,61.294
47.0,9.2575,9.5814,44.403,-70.66,3.528,61.252
47.5,8.9018,9.1525,46.504,-71.073,3.54,61.211
48.0,8.5254,8.7236,48.021,-71.486,3.552,61.17
48.5,8.1492,8.2948,47.529,-71.899,3.564,61.128
49.0,7.7731,7.8675,46.554,-72.312,3.576,61.115
49.5,7.4169,7.5311,46.532,-72.726,3.588,61.108
50.0,7.1936,7.2398,45.181,-73.136,3.6,61.102
50.5,6.9689,6.9489,42.4,-73.588,3.603,61.098
51.0,6.744,6.6966,42.715,-74.031,3.603,61.094
51.5,6.519,6.5227,47.397,-74.474,3.603,61.09
52.0,6.2941,6.3487,55.69,-74.917,3.591,61.086
52.5,6.0691,6.1746,59.316,-75.36,3.53,61.074
53.0,5.8796,6.0011,58.218,-75.818,3.389,61.046
53.5,5.7615,5.8311,55.105,-75.833,3.195,61.018
54.0,5.6433,5.6664,49.501,-75.833,3.001,60.99
54.5,5.525,5.5019,48.553,-75.833,2.807,60.962
55.0,5.4068,5.3621,46.585,-75.833,2.614,60.934
55.5,5.2885,5.2228,46.137,-75.833,2.42,60.906
56.0,5.1699,5.0837,44.836,-75.833,2.331,60.879
56.5,5.08,4.947,43.848,-75.833,2.269,60.866
57.0,5.0682,4.9444,44.487,-75.985,2.207,60.866
57.5,5.0564,4.9443,44.76,-76.194,2.145,60.874
58.0,5.0443,4.9443,44.767,-76.403,2.083,60.882
58.5,5.0323,4.9443,45.771,-76.611,2.037,60.89
59.0,5.0203,4.9443,45.757,-76.819,1.998,60.898
59.5,5.0083,4.9443,47.038,-77.028,1.96,60.906
60.0,4.9963,4.9443,47.926,-77.236,1.922,60.914
60.5,4.9843,4.938,50.511,-77.444,1.884,60.922
61.0,4.9723,4.8862,51.229,-77.653,1.846,60.93
61.5,4.9603,4.8349,48.168,-77.861,1.808,60.938
62.0,4.9492,4.7836,45.276,-78.051,1.77,60.946
62.5,4.9332,4.7323,43.973,-77.952,1.732,60.954
63.0,4.7592,4.681,44.536,-77.855,1.701,60.962
63.5,4.612,4.6298,44.083,-77.758,1.672,60.97
64.0,4.8153,4.5785,44.399,-77.661,1.643,60.978
64.5,4.3944,4.4333,47.252,-77.564,1.614,60.986
65.0,4.2704,4.2333,49.792,-77.5,1.585,60.995
65.5,4.1298,4.1119,50.971,-77.5,1.556,61.003
66.0,4.0063,3.988,50.838,-77.5,1.528,61.011
66.5,3.8831,3.8643,50.784,-77.5,1.52,61.019
67.0,3.7599,3.7407,50.969,-77.5,1.512,61.027
67.5,3.6365,3.617,52.672,-77.5,1.504,61.035
68.0,3.5105,3.4931,55.324,-77.377,1.495,61.043
68.5,3.4555,3.4087,54.527,-77.118,1.487,61.051
69.0,3.4136,3.3801,48.845,-76.858,1.479,61.059
69.5,3.3719,3.3697,43.877,-76.597,1.471,61.067
70.0,3.3296,3.3639,41.314,-76.364,1.461,61.075
70.5,3.2686,3.3352,42.089,-76.233,1.445,61.083
71.0,3.2021,3.2834,42.389,-76.102,1.428,61.091
71.5,3.1354,3.2312,42.737,-75.972,1.412,61.099
72.0,3.0954,3.1789,42.358,-75.839,1.396,61.107
72.5,3.0592,3.1289,42.879,-76.223,1.38,61.115
73.0,3.023,3.0847,42.773,-76.639,1.363,61.123
73.5,2.9935,3.0404,43.565,-77.055,1.347,61.131
74.0,2.9731,2.9952,43.485,-77.485,1.331,61.139
74.5,2.9529,2.9771,46.583,-77.256,1.315,61.145
75.0,2.9327,2.964,51.693,-76.997,1.298,61.151
75.5,2.9048,2.928,56.4,-76.735,1.282,61.156
76.0,2.8554,2.8805,55.953,-76.476,1.266,61.162
76.5,2.806,2.833,52.339,-76.923,1.25,61.167
77.0,2.7567,2.7866,49.606,-76.851,1.233,61.173
77.5,2.7074,2.7405,50.99,-76.759,1.217,61.179
78.0,2.662,2.6944,54.52,-76.667,1.201,61.184
78.5,2.6215,2.6482,56.476,-76.574,1.188,61.19
79.0,2.5831,2.6032,55.87,-76.481,1.179,61.196
79.5,2.5629,2.5576,52.775,-76.383,1.171,61.201
80.0,2.5112,2.528,49.418,-75.972,1.162,61.207
80.5,2.4361,2.5289,49.089,-75.556,1.154,61.212
81.0,2.3602,2.4659,52.791,-75.139,1.145,61.218
81.5,2.3019,2.3946,54.915,-74.721,1.136,61.224
82.0,2.2501,2.3203,54.453,-74.306,1.128,61.229
82.5,2.2298,2.2472,54.065,-74.856,1.118,61.235
83.0,2.1708,2.2261,51.752,-75.895,1.089,61.24
83.5,2.1221,2.1886,50.664,-76.219,1.059,61.246
84.0,2.0741,2.1272,50.732,-75.897,1.03,61.252
84.5,2.0261,2.0655,51.767,-75.576,1.0,61.257
85.0,1.9779,2.0026,51.786,-75.26,0.971,61.26
85.5,1.9405,1.949,49.867,-74.697,0.941,61.261
86.0,1.9318,1.92,47.64,-74.155,0.912,61.262
86.5,1.9232,1.8906,45.767,-73.611,0.882,61.263
87.0,1.9157,1.8928,46.719,-73.068,0.853,61.264
87.5,1.9329,1.8992,52.619,-72.525,0.848,61.265
88.0,1.9496,1.9469,57.473,-71.961,0.848,61.266
88.5,1.9663,2.0033,58.287,-71.318,0.849,61.268
89.0,1.9891,2.0507,56.667,-70.645,0.85,61.269
89.5,2.0142,2.0979,54.083,-69.972,0.85,61.27
90.0,2.0393,2.1453,54.345,-69.284,0.851,61.271
90.5,2.0656,2.1752,55.171,-69.072,0.852,61.272
91.0,2.095,2.1577,57.41,-68.952,0.853,61.273
91.5,2.0668,2.1402,59.701,-68.833,0.855,61.274
92.0,2.0458,2.1244,59.906,-68.714,0.859,61.275
92.5,2.0315,2.1351,58.467,-68.624,0.864,61.277
93.0,2.0173,2.1419,55.97,-68.75,0.869,61.278
