SBWM-4			
4			
x			
y			
z			
64 inch			
x UTM	y UTM	z	64 inch
3739.21	4420.8	-8.15449048	3.96972
3739.21	4420.8	-7.68482416	8.50252
3739.21	4420.8	-6.51064312	14.1688
3739.21	4420.8	-4.16231152	17.4277
3739.21	4420.8	-0.8746168	16.2962
3739.21	4420.8	0.76920008	11.0561
3739.21	4420.8	3.11756216	7.5162
3739.21	4420.8	6.6400748	49.5859
3739.21	4420.8	7.10974112	44.9119
3739.21	4420.8	7.57940744	39.9546
3739.21	4420.8	8.28389168	35.7056
3739.21	4420.8	9.2231024	30.7486
3739.21	4420.8	9.9278	25.9331
3739.21	4420.8	12.2759792	20.5517
3739.21	4420.8	14.3894624	17.5783
3739.21	4420.8	14.6244632	16.0203
3739.21	4420.8	16.2682496	16.7293
3739.21	4420.8	17.2076432	14.8884
3739.21	4420.8	18.1470368	13.8973
3739.21	4420.8	20.9649128	12.4823
3739.21	4420.8	22.6086992	11.4915
3739.21	4420.8	26.6009696	9.79373
3739.21	4420.8	27.7750592	9.65265
3739.21	4420.8	29.4188456	9.93673
3739.21	4420.8	31.0629368	11.6372
3739.21	4420.8	31.7673296	13.7622
3739.21	4420.8	33.411116	19.0038
3739.21	4420.8	35.0549024	15.4635
3739.21	4420.8	36.9336896	11.64
3739.21	4420.8	37.6380824	9.79902
3739.21	4420.8	40.92596	9.37567
3739.21	4420.8	42.1000496	13.2006
3739.21	4420.8	43.743836	17.5923
3739.21	4420.8	46.09232	21.2762
3739.21	4420.8	48.4404992	22.4104
3739.21	4420.8	50.7889832	23.9696
3739.21	4420.8	52.6674656	27.9365
3739.21	4420.8	54.076556	29.6369
3739.21	4420.8	55.7203424	24.2553
3739.21	4420.8	55.9553432	22.2724
3739.21	4420.8	58.7732192	21.8488
3739.21	4420.8	62.060792	23.975
3739.21	4420.8	63.0001856	19.4429
3739.21	4420.8	65.3486696	21.1437
3739.21	4420.8	66.5227592	27.9432
3739.21	4420.8	68.4015464	25.2529
3739.21	4420.8	69.3406352	36.868
3739.21	4420.8	70.0453328	34.1772
3739.21	4420.8	70.7497256	28.9367
3739.21	4420.8	70.9847264	22.8462
3739.21	4420.8	72.158816	16.7561
3739.21	4420.8	73.0982096	14.6319
3739.21	4420.8	74.5069952	17.0405
3739.21	4420.8	74.976692	21.9982
3739.21	4420.8	75.6813896	29.6473
3739.21	4420.8	75.9160856	35.5964
3739.21	4420.8	76.1507816	41.9704
3739.21	4420.8	76.8554792	44.8036
3739.21	4420.8	77.559872	41.8295
3739.21	4420.8	78.9689624	45.5129
3739.21	4420.8	80.6127488	42.5392
3739.21	4420.8	81.3171416	39.1401
3739.21	4420.8	81.5521424	34.466
3739.21	4420.8	81.7868384	29.6502
3739.21	4420.8	84.3700184	32.201
3739.21	4420.8	84.8397152	36.1672
3739.21	4420.8	85.309412	42.2581
3739.21	4420.8	86.0138048	46.791
3739.21	4420.8	87.657896	49.7663
3739.21	4420.8	88.1275928	46.792
3739.21	4420.8	90.241076	47.3596
3739.21	4420.8	90.7107728	42.1191
3739.21	4420.8	91.1801648	36.7369
3739.21	4420.8	91.8848624	33.621
3739.21	4420.8	93.058952	31.072
3739.21	4420.8	94.2330416	28.523
3739.21	4420.8	96.3465248	31.3569
3739.21	4420.8	96.8162216	27.9577
3739.21	4420.8	98.225312	27.6751
3739.21	4420.8	98.460008	24.1341
3739.21	4420.8	99.8690984	20.0271
3739.21	4420.8	100.1040992	18.3275
3739.21	4420.8	101.043188	16.0617
3739.21	4420.8	102.6872792	14.9293
3739.21	4420.8	104.8007624	19.7462
3739.21	4420.8	105.740156	22.7212
3739.21	4420.8	105.974852	17.4805
3739.21	4420.8	106.4445488	15.0728
3739.21	4420.8	108.3230312	15.4986
3739.21	4420.8	109.9671224	14.083
3739.21	4420.8	111.141212	20.5991
3739.21	4420.8	112.3153016	23.4325
3739.21	4420.8	113.4893912	24.283
3739.21	4420.8	114.4287848	21.1673
3739.21	4420.8	115.8378752	24.5674
3739.21	4420.8	116.542268	23.5762
3739.21	4420.8	117.2469656	27.5425
3739.21	4420.8	119.125448	30.9429
3739.21	4420.8	119.8301456	36.0424
3739.21	4420.8	121.0042352	43.9749
3739.21	4420.8	121.2389312	40.2923
3739.21	4420.8	122.8830224	46.5254
3739.21	4420.8	123.3524144	48.6503
3739.21	4420.8	125.4662024	45.5351
3739.21	4420.8	125.9355944	48.3682
3739.21	4420.8	128.5187744	42.7038
3739.21	4420.8	129.223472	37.4633
3739.21	4420.8	129.6931688	28.6817
3739.21	4420.8	130.8672584	19.4754
3739.21	4420.8	132.2763488	20.8925
3739.21	4420.8	133.4504384	27.5503
3739.21	4420.8	134.624528	33.3582
3739.21	4420.8	135.5639216	37.4663
3739.21	4420.8	137.4427088	41.9998
3739.21	4420.8	139.3211912	45.6834
3739.21	4420.8	140.2605848	46.9587
3739.21	4420.8	141.6696752	47.101
3739.21	4420.8	142.374068	43.9852
3739.21	4420.8	143.0787656	40.7277
3739.21	4420.8	145.1922488	41.437
3739.21	4420.8	145.8966416	39.3126
3739.21	4420.8	147.7754288	39.7385
3739.21	4420.8	149.6539112	39.3144
3739.21	4420.8	151.2976976	37.7572
3739.21	4420.8	153.1764848	37.3331
