SBWM-4			
4			
x			
y			
z			
16 inch			
x UTM	y UTM	z	16 inch
3739.21	4420.8	-15.43396792	43.7679
3739.21	4420.8	-14.49387328	41.927
3739.21	4420.8	-12.61371448	40.5115
3739.21	4420.8	-12.1436824	34.7044
3739.21	4420.8	-11.43861904	19.6905
3739.21	4420.8	-10.02849232	4.11046
3739.21	4420.8	-8.6183656	3.26128
3739.21	4420.8	-8.38333432	32.2982
3739.21	4420.8	-8.14830304	14.7346
3739.21	4420.8	-7.91330224	44.6214
3739.21	4420.8	-7.44327016	49.4375
3739.21	4420.8	-5.32808008	49.5801
3739.21	4420.8	-2.74282744	49.5814
3739.21	4420.8	0.3124268	49.4412
3739.21	4420.8	1.48752224	41.3681
3739.21	4420.8	1.9575848	30.8867
3739.21	4420.8	2.89764896	24.5133
3739.21	4420.8	5.48287112	18.2822
3739.21	4420.8	7.12802912	14.0337
3739.21	4420.8	10.4182232	10.4942
3739.21	4420.8	12.5335352	8.51221
3739.21	4420.8	15.8238512	15.0294
3739.21	4420.8	16.058852	8.5139
3739.21	4420.8	17.4688568	9.50607
3739.21	4420.8	18.1738592	7.24012
3739.21	4420.8	19.349168	7.52397
3739.21	4420.8	20.7591728	6.24986
3739.21	4420.8	21.699176	6.67524
3739.21	4420.8	23.1094856	5.68441
3739.21	4420.8	23.814488	10.7839
3739.21	4420.8	25.2244928	7.81007
3739.21	4420.8	25.6947992	4.83579
3739.21	4420.8	26.6348024	5.82774
3739.21	4420.8	29.220116	5.12077
3739.21	4420.8	30.39512	10.5038
3739.21	4420.8	31.3351232	8.94614
3739.21	4420.8	32.0401256	11.6377
3739.21	4420.8	32.2751264	27.6435
3739.21	4420.8	32.9804336	19.0036
3739.21	4420.8	34.6254392	22.2622
3739.21	4420.8	36.035444	20.8464
3739.21	4420.8	36.2704448	16.5972
3739.21	4420.8	36.5057504	12.773
3739.21	4420.8	36.7407512	8.5238
3739.21	4420.8	38.6207576	12.3491
3739.21	4420.8	40.5010688	6.82589
3739.21	4420.8	42.8510768	12.2095
3739.21	4420.8	45.6713912	18.1598
3739.21	4420.8	46.6113944	19.7183
3739.21	4420.8	46.8463952	18.302
3739.21	4420.8	48.7267064	21.2774
3739.21	4420.8	49.4317088	19.4364
3739.21	4420.8	50.1367112	20.145
3739.21	4420.8	51.31202	19.154
3739.21	4420.8	52.2520232	22.2706
3739.21	4420.8	53.1920264	34.3107
3739.21	4420.8	53.662028	27.937
3739.21	4420.8	55.0723376	36.5779
3739.21	4420.8	56.0123408	15.7568
3739.21	4420.8	56.2473416	18.5898
3739.21	4420.8	59.5376576	18.4497
3739.21	4420.8	61.417664	21.9917
3739.21	4420.8	62.357972	20.2925
3739.21	4420.8	62.8279736	16.185
3739.21	4420.8	63.2979752	12.0776
3739.21	4420.8	64.4729792	13.7779
3739.21	4420.8	64.70798	18.3106
3739.21	4420.8	64.9429808	24.543
3739.21	4420.8	65.4132872	30.7755
3739.21	4420.8	66.3532904	21.9941
3739.21	4420.8	66.5882912	17.8865
3739.21	4420.8	67.998296	35.8759
3739.21	4420.8	68.2332968	29.7854
3739.21	4420.8	69.6436064	41.1175
3739.21	4420.8	70.3486088	18.8798
3739.21	4420.8	70.3486088	18.8798
3739.21	4420.8	70.5836096	33.1859
3739.21	4420.8	72.2286152	7.5493
3739.21	4420.8	73.8739256	9.10817
3739.21	4420.8	75.0489296	17.8906
3739.21	4420.8	75.2839304	41.6867
3739.21	4420.8	75.5189312	28.5141
3739.21	4420.8	76.4592392	44.8035
3739.21	4420.8	79.2792488	39.1391
3739.21	4420.8	80.9245592	36.8736
3739.21	4420.8	81.6295616	38.5736
3739.21	4420.8	82.334564	26.676
3739.21	4420.8	83.0395664	20.7273
3739.21	4420.8	83.5098728	26.2516
3739.21	4420.8	84.6848768	33.476
3739.21	4420.8	84.9198776	41.6914
3739.21	4420.8	85.1548784	49.7651
3739.21	4420.8	87.0351896	49.6244
3739.21	4420.8	88.4451944	49.7667
3739.21	4420.8	89.6201984	40.4188
3739.21	4420.8	89.8551992	35.4614
3739.21	4420.8	90.3252008	30.6458
3739.21	4420.8	92.9105144	21.7235
3739.21	4420.8	94.5558248	27.1067
3739.21	4420.8	96.2008304	24.133
3739.21	4420.8	96.4358312	28.8074
3739.21	4420.8	97.3758344	35.1817
3739.21	4420.8	98.5511432	27.2503
3739.21	4420.8	98.786144	31.9246
3739.21	4420.8	99.2561456	14.2195
3739.21	4420.8	100.1961488	10.5372
3739.21	4420.8	100.9011512	9.26276
3739.21	4420.8	101.6064584	11.8127
3739.21	4420.8	102.7814624	13.3713
3739.21	4420.8	103.251464	14.5047
3739.21	4420.8	103.9564664	19.4625
3739.21	4420.8	104.1914672	24.4201
3739.21	4420.8	104.426468	25.9783
3739.21	4420.8	106.7767808	24.2797
3739.21	4420.8	107.0117816	19.7473
3739.21	4420.8	107.2467824	11.8154
3739.21	4420.8	108.657092	8.13333
3739.21	4420.8	109.5970952	11.6749
3739.21	4420.8	110.0670968	18.049
3739.21	4420.8	111.0071	21.1656
3739.21	4420.8	111.9471032	23.7156
3739.21	4420.8	113.122412	20.1751
3739.21	4420.8	114.5324168	20.884
3739.21	4420.8	114.7674176	17.9096
3739.21	4420.8	116.1777272	16.2106
3739.21	4420.8	116.6477288	20.4601
3739.21	4420.8	117.587732	25.1348
3739.21	4420.8	118.9977368	29.668
3739.21	4420.8	119.9380448	33.4928
3739.21	4420.8	120.878048	40.5754
3739.21	4420.8	121.1130488	39.4424
3739.21	4420.8	122.5230536	39.1598
3739.21	4420.8	123.2283608	44.9675
3739.21	4420.8	123.4633616	41.5682
3739.21	4420.8	123.9333632	48.7922
3739.21	4420.8	124.8733664	46.1014
3739.21	4420.8	125.5783688	48.0848
3739.21	4420.8	127.2236792	43.2697
3739.21	4420.8	128.1636824	38.5959
3739.21	4420.8	129.1036856	26.5567
3739.21	4420.8	129.3386864	33.4973
3739.21	4420.8	130.9839968	10.9769
3739.21	4420.8	132.1590008	11.969
3739.21	4420.8	133.099004	21.1762
3739.21	4420.8	134.5093136	28.259
3739.21	4420.8	134.7443144	32.2251
3739.21	4420.8	136.38932	32.7925
3739.21	4420.8	138.0346304	37.3259
3739.21	4420.8	138.7396328	43.9834
3739.21	4420.8	140.85464	39.3102
3739.21	4420.8	142.7349512	40.3026
3739.21	4420.8	143.6749544	36.9036
3739.21	4420.8	145.5552656	31.2388
3739.21	4420.8	147.6702728	33.2228
3739.21	4420.8	149.0805824	35.3482
3739.21	4420.8	150.725588	32.6577
3739.21	4420.8	152.3708984	29.9673
3739.21	4420.8	153.3109016	29.6845
3739.21	4420.8	154.9559072	33.0847
3739.21	4420.8	155.6612144	37.9009
3739.21	4420.8	156.3662168	49.091
3739.21	4420.8	158.0112224	49.5167
3739.21	4420.8	159.6565328	47.3929
3739.21	4420.8	161.77154	41.4449
3739.21	4420.8	162.711848	35.4963
3739.21	4420.8	164.8268552	26.4322
3739.21	4420.8	165.2968568	21.8998
3739.21	4420.8	166.9421672	16.3765
3739.21	4420.8	167.8821704	11.8444
3739.21	4420.8	168.5871728	9.29519
3739.21	4420.8	169.7621768	20.6272
3739.21	4420.8	169.9974824	12.6953
3739.21	4420.8	170.9374856	49.8062
3739.21	4420.8	170.9374856	49.8062
3739.21	4420.8	171.1724864	45.557
3739.21	4420.8	174.932804	49.3832
3739.21	4420.8	175.6378064	45.5592
3739.21	4420.8	176.3428088	36.636
3739.21	4420.8	176.5778096	26.8628
3739.21	4420.8	177.2831168	16.8064
3739.21	4420.8	177.5181176	9.58275
3739.21	4420.8	179.1631232	6.46739
3739.21	4420.8	183.1584416	5.90273
3739.21	4420.8	187.15376	5.33807
3739.21	4420.8	190.444076	4.63144
3739.21	4420.8	192.0893864	7.89001
3739.21	4420.8	193.734392	13.9815
3739.21	4420.8	195.3797024	18.5148
3739.21	4420.8	196.3197056	34.2376
3739.21	4420.8	196.7897072	28.2889
3739.21	4420.8	197.024708	46.2776
3739.21	4420.8	197.9647112	40.6124
3739.21	4420.8	198.199712	49.2527
3739.21	4420.8	200.7850256	47.6959
3739.21	4420.8	201.7250288	42.0306
3739.21	4420.8	202.430336	38.7732
3739.21	4420.8	203.60534	41.04
3739.21	4420.8	204.5453432	31.2671
3739.21	4420.8	207.1306568	36.0842
3739.21	4420.8	207.6006584	32.5433
3739.21	4420.8	208.7756624	33.5354
3739.21	4420.8	209.9509712	34.9524
3739.21	4420.8	211.1259752	30.8453
3739.21	4420.8	213.476288	39.0617
3739.21	4420.8	216.2962976	41.3294
3739.21	4420.8	217.4716064	44.5877
3739.21	4420.8	218.6466104	40.4806
3739.21	4420.8	219.3516128	37.2232
3739.21	4420.8	220.5269216	37.932
3739.21	4420.8	221.7019256	36.941
3739.21	4420.8	222.406928	37.9329
3739.21	4420.8	224.0522384	41.6164
3739.21	4420.8	225.697244	35.8098
3739.21	4420.8	226.872248	31.7027
3739.21	4420.8	227.3422496	29.7199
3739.21	4420.8	228.98756	35.5281
3739.21	4420.8	229.9275632	34.2538
3739.21	4420.8	231.3378728	35.9541
3739.21	4420.8	232.0428752	34.3964
3739.21	4420.8	233.6878808	33.1224
3739.21	4420.8	235.0981904	35.2477
3739.21	4420.8	236.0381936	36.3813
3739.21	4420.8	237.9182	39.2151
3739.21	4420.8	239.3285096	39.924
3739.21	4420.8	240.5035136	30.5761
3739.21	4420.8	241.208516	27.4603
3739.21	4420.8	242.8538264	33.1268
3739.21	4420.8	243.0888272	42.9003
3739.21	4420.8	243.323828	46.4415
3739.21	4420.8	243.7938296	38.0848
3739.21	4420.8	245.9091416	44.4597
3739.21	4420.8	246.1441424	48.5675
3739.21	4420.8	248.7291512	49.9851
3739.21	4420.8	249.4344584	48.1441
3739.21	4420.8	250.1394608	43.1869
3739.21	4420.8	250.3744616	38.2296
3739.21	4420.8	250.8444632	26.0485
3739.21	4420.8	252.0194672	24.491
3739.21	4420.8	253.6647776	46.0215
3739.21	4420.8	253.8997784	34.8318
3739.21	4420.8	253.8997784	34.8318
3739.21	4420.8	254.6047808	49.2797
3739.21	4420.8	256.485092	33.1333
3739.21	4420.8	256.7200928	38.3742
3739.21	4420.8	258.3650984	46.732
3739.21	4420.8	259.7751032	28.1774
3739.21	4420.8	260.0104088	18.9707
3739.21	4420.8	260.2454096	36.3929
3739.21	4420.8	261.6554144	14.014
3739.21	4420.8	263.30042	12.0318
3739.21	4420.8	264.4757288	12.4573
3739.21	4420.8	265.6507328	11.3247
3739.21	4420.8	267.0607376	11.7503
3739.21	4420.8	268.4710472	10.9011
3739.21	4420.8	269.4110504	13.5928
3739.21	4420.8	270.1160528	17.5591
3739.21	4420.8	271.2913616	12.3189
3739.21	4420.8	273.6413696	10.6203
3739.21	4420.8	275.5216808	9.06313
3739.21	4420.8	278.1069944	9.63094
3739.21	4420.8	279.752	8.78187
