SBWM-4			
4			
x			
y			
z			
gamma			
x UTM	y UTM	z	gamma
3739.21	4420.8	-15.904	44.3662
3739.21	4420.8	-14.73167824	50
3739.21	4420.8	-14.26277392	42.2535
3739.21	4420.8	-12.856	52.1127
3739.21	4420.8	-12.3870652	47.1831
3739.21	4420.8	-10.2769348	42.9577
3739.21	4420.8	-9.57354784	46.4789
3739.21	4420.8	-8.40122608	88.7324
3739.21	4420.8	-6.99445216	77.4648
3739.21	4420.8	-5.82216088	88.7324
3739.21	4420.8	-4.1809348	85.2113
3739.21	4420.8	-2.07077392	69.0141
3739.21	4420.8	-0.89845216	77.4648
3739.21	4420.8	0.03938696	74.6479
3739.21	4420.8	1.9150652	73.2394
3739.21	4420.8	2.14954784	82.3944
3739.21	4420.8	2.61845216	73.2394
3739.21	4420.8	3.79077392	66.9014
3739.21	4420.8	4.72861304	81.6901
3739.21	4420.8	5.19754784	76.7606
3739.21	4420.8	6.60432176	95.7746
3739.21	4420.8	7.30767824	109.155
3739.21	4420.8	7.54216088	142.254
3739.21	4420.8	9.1834784	120.423
3739.21	4420.8	9.4178696	104.225
3739.21	4420.8	10.5901304	102.817
3739.21	4420.8	11.0592176	93.662
3739.21	4420.8	11.9967824	114.085
3739.21	4420.8	13.8725216	126.761
3739.21	4420.8	14.3416088	113.38
3739.21	4420.8	14.8103912	99.2958
3739.21	4420.8	15.5138696	130.282
3739.21	4420.8	15.982652	111.268
3739.21	4420.8	16.4517392	107.042
3739.21	4420.8	17.8583912	116.901
3739.21	4420.8	18.3274784	106.338
3739.21	4420.8	20.9063912	121.127
3739.21	4420.8	22.313348	125.352
3739.21	4420.8	23.0165216	120.423
3739.21	4420.8	23.9543912	123.239
3739.21	4420.8	24.4234784	100.704
3739.21	4420.8	25.8301304	136.62
3739.21	4420.8	26.0645216	121.127
3739.21	4420.8	26.2992176	157.042
3739.21	4420.8	26.5336088	147.183
3739.21	4420.8	26.768	133.099
3739.21	4420.8	27.9402608	152.817
3739.21	4420.8	29.1125216	131.69
3739.21	4420.8	30.0503912	119.718
3739.21	4420.8	30.2847824	97.8873
3739.21	4420.8	32.1605216	104.225
3739.21	4420.8	32.3952176	95.0704
3739.21	4420.8	33.0983912	83.0986
3739.21	4420.8	33.5674784	95.0704
3739.21	4420.8	34.505348	73.9437
3739.21	4420.8	34.7397392	65.493
3739.21	4420.8	36.8498696	76.7606
3739.21	4420.8	37.0842608	91.5493
3739.21	4420.8	37.318652	94.3662
3739.21	4420.8	39.4287824	80.2817
3739.21	4420.8	39.6634784	63.3803
3739.21	4420.8	41.5392176	73.9437
3739.21	4420.8	42.7114784	64.7887
3739.21	4420.8	43.414652	73.9437
3739.21	4420.8	45.056	61.2676
3739.21	4420.8	46.697348	52.1127
3739.21	4420.8	46.9317392	67.6056
3739.21	4420.8	48.104	52.8169
3739.21	4420.8	49.510652	72.5352
3739.21	4420.8	50.4485216	59.1549
3739.21	4420.8	52.793348	69.7183
3739.21	4420.8	53.2621304	59.8592
3739.21	4420.8	54.6687824	71.1268
3739.21	4420.8	55.1378696	63.3803
3739.21	4420.8	57.0136088	67.6056
3739.21	4420.8	57.9514784	61.2676
3739.21	4420.8	58.654652	69.0141
