SBWM-1			
4			
x			
y			
z			
SP			
x UTM	y UTM	z	SP
5128.45	6931.41	-20.76	-5.76547
5128.45	6931.41	-19.1469984	-4.00651
5128.45	6931.41	-17.53402728	-7.32899
5128.45	6931.41	-17.53402728	-7.32899
5128.45	6931.41	-16.72752648	-18.2736
5128.45	6931.41	-16.72752648	-18.2736
5128.45	6931.41	-15.92102568	-21.0098
5128.45	6931.41	-14.30802408	-21.987
5128.45	6931.41	-13.09827288	-19.4463
5128.45	6931.41	-10.27555056	-17.4919
5128.45	6931.41	-8.66254896	-15.9283
5128.45	6931.41	-5.83982664	-14.5603
5128.45	6931.41	-3.4202328	-11.8241
5128.45	6931.41	-2.2104816	-8.69707
5128.45	6931.41	-0.1942296	-5.96091
5128.45	6931.41	0.6122712	-2.83388
5128.45	6931.41	2.2252728	-1.27036
5128.45	6931.41	5.8545264	1.4658
5128.45	6931.41	7.4672232	3.61564
5128.45	6931.41	8.273724	6.15635
5128.45	6931.41	11.0964768	8.30619
5128.45	6931.41	13.1127288	10.0651
5128.45	6931.41	17.1452328	7.71987
5128.45	6931.41	20.371236	7.13355
5128.45	6931.41	22.7907384	5.37459
5128.45	6931.41	25.6134912	3.81107
5128.45	6931.41	29.6459952	2.24756
5128.45	6931.41	32.8719984	1.27036
5128.45	6931.41	35.2915008	0.879479
5128.45	6931.41	37.3077528	1.85668
5128.45	6931.41	40.9370064	3.22476
5128.45	6931.41	42.1467576	5.76547
5128.45	6931.41	42.9532584	7.71987
5128.45	6931.41	44.1630096	9.28339
5128.45	6931.41	45.3727608	6.93811
5128.45	6931.41	46.1792616	3.61564
5128.45	6931.41	47.7922632	0.488599
5128.45	6931.41	49.4052648	-1.07492
5128.45	6931.41	51.0182664	-3.02932
5128.45	6931.41	52.2280176	-1.85668
5128.45	6931.41	53.4377688	-0.879479
5128.45	6931.41	54.64752	-3.22476
5128.45	6931.41	55.0507704	-5.76547
5128.45	6931.41	55.4540208	-8.11075
5128.45	6931.41	56.663772	-9.86971
5128.45	6931.41	57.8735232	-11.6287
5128.45	6931.41	59.0832744	-14.1694
5128.45	6931.41	60.2930256	-16.3192
5128.45	6931.41	62.7122232	-16.3192
5128.45	6931.41	64.7284752	-17.4919
5128.45	6931.41	67.1479776	-17.2964
5128.45	6931.41	67.551228	-14.3648
5128.45	6931.41	68.7609792	-12.0195
5128.45	6931.41	69.1642296	-6.35179
5128.45	6931.41	69.9707304	-3.4202
5128.45	6931.41	72.7934832	-2.83388
5128.45	6931.41	76.0194864	-3.4202
5128.45	6931.41	78.8422392	-2.05212
5128.45	6931.41	80.0519904	-3.02932
5128.45	6931.41	84.0844944	-1.66124
