SBWM-1			
4			
x			
y			
z			
gamma			
x UTM	y UTM	z	gamma
5128.45	6931.41	260.7404784	28.0777
5128.45	6931.41	261.5250336	33.3242
5128.45	6931.41	263.522388	37.5879
5128.45	6931.41	264.3212688	39.2279
5128.45	6931.41	267.5497104	37.9188
5128.45	6931.41	269.558952	39.5596
5128.45	6931.41	271.982112	37.9221
5128.45	6931.41	274.399176	37.596
5128.45	6931.41	276.828432	34.9749
5128.45	6931.41	280.455552	34.6497
5128.45	6931.41	283.677288	34.6521
5128.45	6931.41	287.292216	37.2777
5128.45	6931.41	290.523096	35.6408
5128.45	6931.41	294.150216	34.9877
5128.45	6931.41	296.966568	36.6291
5128.45	6931.41	298.560672	40.8926
5128.45	6931.41	300.16392	42.5332
5128.45	6931.41	302.172552	44.174
5128.45	6931.41	303.358224	50.0765
5128.45	6931.41	304.940136	57.2908
5128.45	6931.41	306.125808	62.8655
5128.45	6931.41	308.13444	64.1784
5128.45	6931.41	309.304872	74.0154
5128.45	6931.41	310.13088	68.7701
5128.45	6931.41	310.886784	80.9018
5128.45	6931.41	311.27388	85.1644
5128.45	6931.41	313.306896	80.5757
5128.45	6931.41	314.139	73.6911
5128.45	6931.41	314.56572	67.7897
5128.45	6931.41	315.791016	63.5284
5128.45	6931.41	317.424744	57.9558
5128.45	6931.41	318.26904	48.7761
5128.45	6931.41	319.101144	42.5472
5128.45	6931.41	320.72268	39.9255
5128.45	6931.41	321.938832	37.6313
5128.45	6931.41	323.535984	41.5669
5128.45	6931.41	325.120944	47.7976
5128.45	6931.41	325.907328	53.0441
5128.45	6931.41	327.498384	57.6354
5128.45	6931.41	328.696248	60.915
5128.45	6931.41	331.530888	57.3105
5128.45	6931.41	333.963192	53.3779
5128.45	6931.41	337.200168	50.1016
5128.45	6931.41	340.028712	47.8086
5128.45	6931.41	342.857256	45.8435
5128.45	6931.41	346.472184	48.4692
5128.45	6931.41	349.690872	49.4551
5128.45	6931.41	353.714232	50.4417
5128.45	6931.41	355.33272	49.4593
5128.45	6931.41	358.139928	52.4122
5128.45	6931.41	361.358616	53.0704
5128.45	6931.41	362.9832	50.4486
5128.45	6931.41	366.994368	54.386
5128.45	6931.41	370.158192	69.1425
5128.45	6931.41	370.182576	63.2408
5128.45	6931.41	370.197816	59.6343
5128.45	6931.41	372.95016	76.0298
5128.45	6931.41	373.736544	81.2763
5128.45	6931.41	377.348424	84.2298
5128.45	6931.41	379.774632	81.9365
5128.45	6931.41	380.606736	76.0355
5128.45	6931.41	382.24656	68.4957
5128.45	6931.41	383.075616	62.9225
5128.45	6931.41	383.1	56.693
5128.45	6931.41	385.12692	54.0716
5128.45	6931.41	388.763184	51.4513
5128.45	6931.41	392.393352	50.1426
5128.45	6931.41	395.212752	50.1447
5128.45	6931.41	398.43144	51.4585
5128.45	6931.41	402.466992	49.4943
5128.45	6931.41	406.490352	51.1366
5128.45	6931.41	408.523368	46.8758
5128.45	6931.41	410.949576	44.2547
5128.45	6931.41	413.375784	42.2893
5128.45	6931.41	416.99376	44.2592
5128.45	6931.41	418.618344	40.9817
5128.45	6931.41	419.499216	22.2938
5128.45	6931.41	419.85888	32.7859
5128.45	6931.41	421.148184	13.1147
5128.45	6931.41	421.599288	0.983902
