SBWM-1			
4			
x			
y			
z			
single point			
x UTM	y UTM	z	Single point
5128.45	6931.41	262.7667888	45.6552
5128.45	6931.41	263.4361296	48.1214
5128.45	6931.41	264.7863936	49.7661
5128.45	6931.41	266.4902256	47.0274
5128.45	6931.41	268.1885712	45.9325
5128.45	6931.41	270.909216	43.1945
5128.45	6931.41	271.933344	40.7294
5128.45	6931.41	273.304944	36.6206
5128.45	6931.41	273.987696	34.9772
5128.45	6931.41	274.335168	32.7857
5128.45	6931.41	274.679592	30.8681
5128.45	6931.41	275.70372	28.9509
5128.45	6931.41	277.06008	28.4038
5128.45	6931.41	278.056776	34.7058
5128.45	6931.41	278.06592	31.4181
5128.45	6931.41	278.727336	36.898
5128.45	6931.41	280.074552	39.0906
5128.45	6931.41	280.742064	42.3787
5128.45	6931.41	281.750952	44.0231
5128.45	6931.41	284.472816	41.0111
5128.45	6931.41	284.835528	34.436
5128.45	6931.41	285.50304	37.7241
5128.45	6931.41	286.207128	29.7793
5128.45	6931.41	286.560696	25.67
5128.45	6931.41	287.249544	21.8348
5128.45	6931.41	289.630032	19.3705
5128.45	6931.41	294.03744	19.0993
5128.45	6931.41	298.450944	17.4582
5128.45	6931.41	301.837272	17.4603
5128.45	6931.41	303.184488	20.2008
5128.45	6931.41	304.178136	27.5987
5128.45	6931.41	304.190328	23.7631
5128.45	6931.41	305.180928	31.7089
5128.45	6931.41	305.845392	34.997
5128.45	6931.41	306.512904	38.0111
5128.45	6931.41	308.890344	37.1907
5128.45	6931.41	310.234512	39.9312
5128.45	6931.41	311.219016	50.0688
5128.45	6931.41	311.856048	61.85
5128.45	6931.41	311.880432	55.0007
5128.45	6931.41	311.917008	44.0418
5128.45	6931.41	312.514416	67.6039
5128.45	6931.41	312.834456	73.0835
5128.45	6931.41	313.8342	78.5636
5128.45	6931.41	314.836992	82.6738
5128.45	6931.41	316.205544	78.2911
5128.45	6931.41	316.220784	73.9075
5128.45	6931.41	317.257104	68.4287
5128.45	6931.41	318.290376	63.7718
5128.45	6931.41	318.305616	59.1143
5128.45	6931.41	318.320856	54.4568
5128.45	6931.41	318.326952	52.539
5128.45	6931.41	319.348032	51.1697
5128.45	6931.41	321.036624	53.0886
5128.45	6931.41	321.381048	51.445
5128.45	6931.41	323.758488	50.0766
5128.45	6931.41	325.456224	48.9817
5128.45	6931.41	325.806744	45.4203
