SBWM-1			
4			
x			
y			
z			
16 inch			
x UTM	y UTM	z	16 inch
5128.45	6931.41	-20.8	50
5128.45	6931.41	-20.1244512	23.7705
5128.45	6931.41	-19.4489024	25.6831
5128.45	6931.41	-17.4222256	25.4098
5128.45	6931.41	-17.0844512	27.8689
5128.45	6931.41	-16.0710976	30.6011
5128.45	6931.41	-14.0444512	32.2404
5128.45	6931.41	-12.3555488	31.694
5128.45	6931.41	-11.68	30.6011
5128.45	6931.41	-10.6666768	28.6885
5128.45	6931.41	-10.3289024	25.9563
5128.45	6931.41	-10.3289024	25.9563
5128.45	6931.41	-9.3155488	19.6721
5128.45	6931.41	-8.9777744	17.4863
5128.45	6931.41	-8.3022256	15.3005
5128.45	6931.41	-7.6266768	12.0219
5128.45	6931.41	-6.2755488	10.929
5128.45	6931.41	-4.586768	10.929
5128.45	6931.41	-3.235488	10.3825
5128.45	6931.41	-2.897744	100
5128.45	6931.41	-2.56	96.1749
5128.45	6931.41	-1.884512	91.2568
5128.45	6931.41	-1.546768	88.7978
5128.45	6931.41	-0.870976	73.4973
5128.45	6931.41	-0.870976	73.4973
5128.45	6931.41	-0.870976	73.4973
5128.45	6931.41	-0.195488	69.9454
5128.45	6931.41	0.142256	66.3934
5128.45	6931.41	0.817744	52.7322
5128.45	6931.41	1.155488	56.2842
5128.45	6931.41	1.155488	56.2842
5128.45	6931.41	2.169024	48.9071
5128.45	6931.41	2.506768	39.3443
5128.45	6931.41	2.844512	35.5191
5128.45	6931.41	3.857744	33.6066
5128.45	6931.41	3.857744	33.6066
5128.45	6931.41	4.195488	24.0437
5128.45	6931.41	5.546768	21.3115
5128.45	6931.41	6.897744	20.2186
5128.45	6931.41	8.586768	19.9454
5128.45	6931.41	8.586768	19.9454
5128.45	6931.41	9.6	14.2077
5128.45	6931.41	11.964512	11.7486
5128.45	6931.41	13.653232	9.56284
5128.45	6931.41	16.693232	7.9235
5128.45	6931.41	21.084512	6.01093
5128.45	6931.41	22.773232	5.7377
5128.45	6931.41	25.137744	6.28415
5128.45	6931.41	27.164512	4.91803
5128.45	6931.41	30.88	4.37158
5128.45	6931.41	33.244512	3.00546
5128.45	6931.41	35.609024	2.73224
5128.45	6931.41	36.96	2.73224
5128.45	6931.41	40.675488	2.73224
5128.45	6931.41	42.702256	2.73224
5128.45	6931.41	45.066768	2.73224
5128.45	6931.41	46.417744	3.55191
5128.45	6931.41	48.106768	3.27869
5128.45	6931.41	49.457744	1.91257
5128.45	6931.41	51.484512	2.18579
5128.45	6931.41	55.537744	2.45902
5128.45	6931.41	57.564512	3.00546
5128.45	6931.41	59.929024	3.27869
5128.45	6931.41	61.617744	2.18579
5128.45	6931.41	62.969024	3.27869
5128.45	6931.41	67.36	1.63934
5128.45	6931.41	69.049024	1.36612
5128.45	6931.41	71.413232	1.63934
5128.45	6931.41	75.129024	3.00546
5128.45	6931.41	76.817744	3.00546
5128.45	6931.41	78.169024	3.55191
5128.45	6931.41	80.195488	4.37158
5128.45	6931.41	81.884512	3.82514
5128.45	6931.41	83.910976	4.09836
5128.45	6931.41	85.937744	7.10383
5128.45	6931.41	87.626768	5.46448
5128.45	6931.41	88.977744	4.64481
5128.45	6931.41	91.68	3.82514
5128.45	6931.41	94.72	3.82514
5128.45	6931.41	96.409024	3.82514
5128.45	6931.41	98.435488	5.46448
5128.45	6931.41	98.773232	6.8306
5128.45	6931.41	100.124512	8.74317
5128.45	6931.41	100.8	11.7486
5128.45	6931.41	101.813232	13.1148
5128.45	6931.41	102.489024	14.2077
5128.45	6931.41	103.84	13.388
5128.45	6931.41	104.853232	19.1257
5128.45	6931.41	105.190976	16.1202
5128.45	6931.41	105.529024	20.4918
5128.45	6931.41	105.866768	22.6776
5128.45	6931.41	107.217744	17.7596
5128.45	6931.41	107.555488	19.6721
5128.45	6931.41	107.893232	15.847
5128.45	6931.41	108.230976	13.9344
5128.45	6931.41	109.92	14.2077
5128.45	6931.41	110.257744	19.1257
5128.45	6931.41	110.257744	19.1257
5128.45	6931.41	110.595488	24.0437
5128.45	6931.41	112.622256	23.4973
5128.45	6931.41	112.96	21.0383
5128.45	6931.41	112.96	21.0383
5128.45	6931.41	113.973232	20.2186
5128.45	6931.41	113.973232	20.2186
5128.45	6931.41	113.973232	20.2186
5128.45	6931.41	114.986768	26.2295
5128.45	6931.41	116.337744	22.1311
5128.45	6931.41	116.675488	20.4918
5128.45	6931.41	117.350976	18.0328
5128.45	6931.41	118.026768	21.8579
5128.45	6931.41	118.364512	25.4098
5128.45	6931.41	118.702256	27.3224
5128.45	6931.41	119.04	29.7814
5128.45	6931.41	119.715488	28.1421
5128.45	6931.41	120.729024	30.8743
5128.45	6931.41	121.066768	34.6995
5128.45	6931.41	121.404512	29.235
5128.45	6931.41	121.742256	43.9891
5128.45	6931.41	121.742256	43.9891
5128.45	6931.41	122.417744	36.3388
5128.45	6931.41	122.755488	28.6885
5128.45	6931.41	123.769024	27.0492
5128.45	6931.41	124.444512	24.0437
5128.45	6931.41	124.782256	21.8579
5128.45	6931.41	125.12	19.6721
5128.45	6931.41	125.795488	18.0328
5128.45	6931.41	126.133232	16.1202
5128.45	6931.41	126.809024	15.3005
5128.45	6931.41	127.146768	30.6011
5128.45	6931.41	127.146768	30.6011
5128.45	6931.41	127.484512	19.1257
5128.45	6931.41	127.822256	17.2131
5128.45	6931.41	128.497744	33.0601
5128.45	6931.41	129.849024	28.1421
5128.45	6931.41	129.849024	28.1421
5128.45	6931.41	129.849024	28.1421
5128.45	6931.41	130.862256	14.2077
5128.45	6931.41	131.537744	18.8525
5128.45	6931.41	132.213232	21.3115
5128.45	6931.41	132.889024	24.8634
5128.45	6931.41	132.889024	24.8634
5128.45	6931.41	133.902256	22.9508
5128.45	6931.41	134.577744	21.0383
5128.45	6931.41	135.253232	19.9454
5128.45	6931.41	135.929024	25.1366
5128.45	6931.41	136.942256	27.3224
5128.45	6931.41	137.28	30.0546
5128.45	6931.41	139.306768	27.0492
5128.45	6931.41	139.644512	24.5902
5128.45	6931.41	139.982256	22.9508
5128.45	6931.41	140.657744	20.765
5128.45	6931.41	142.009024	18.5792
5128.45	6931.41	144.373232	16.9399
5128.45	6931.41	146.062256	16.1202
5128.45	6931.41	147.075488	18.5792
5128.45	6931.41	149.102256	20.765
5128.45	6931.41	149.44	17.7596
5128.45	6931.41	150.790976	15.847
5128.45	6931.41	151.804512	9.56284
5128.45	6931.41	152.817744	6.8306
5128.45	6931.41	153.155488	4.91803
5128.45	6931.41	158.56	4.09836
