SBWM-1			
4			
x			
y			
z			
64 inch			
x UTM	y UTM	z	64 inch
5128.45	6931.41	250.9810872	16.5163
5128.45	6931.41	253.3499928	23.3298
5128.45	6931.41	255.0419376	27.6905
5128.45	6931.41	258.76446	29.3276
5128.45	6931.41	261.1333656	30.964
5128.45	6931.41	264.1789272	38.3228
5128.45	6931.41	264.855888	43.7728
5128.45	6931.41	268.5784104	42.4127
5128.45	6931.41	268.915824	37.7808
5128.45	6931.41	270.945792	33.6948
5128.45	6931.41	272.302152	27.7011
5128.45	6931.41	273.317136	20.3448
5128.45	6931.41	273.993792	15.4406
5128.45	6931.41	276.362088	8.90253
5128.45	6931.41	278.392056	12.991
5128.45	6931.41	279.068712	17.0786
5128.45	6931.41	279.40704	23.3458
5128.45	6931.41	279.745368	29.8855
5128.45	6931.41	281.09868	35.6084
5128.45	6931.41	283.466976	20.6235
5128.45	6931.41	284.143632	32.8855
5128.45	6931.41	284.823336	11.0876
5128.45	6931.41	286.514976	6.45647
5128.45	6931.41	289.559928	4.55099
5128.45	6931.41	294.634848	3.4642
5128.45	6931.41	299.03616	1.83204
5128.45	6931.41	303.772752	4.55976
5128.45	6931.41	305.126064	10.5551
5128.45	6931.41	307.156032	22.273
5128.45	6931.41	308.509344	26.361
5128.45	6931.41	311.557344	36.9896
5128.45	6931.41	311.895672	27.998
5128.45	6931.41	312.910656	47.0722
5128.45	6931.41	313.248984	56.3367
5128.45	6931.41	314.263968	64.7842
5128.45	6931.41	314.602296	69.1441
5128.45	6931.41	315.955608	36.4474
5128.45	6931.41	316.293936	54.4312
5128.45	6931.41	316.632264	62.0609
5128.45	6931.41	316.970592	44.6224
5128.45	6931.41	317.647248	31.5438
5128.45	6931.41	319.338888	35.9045
5128.45	6931.41	320.353872	30.1831
5128.45	6931.41	323.7402	29.6402
5128.45	6931.41	324.416856	33.7278
5128.45	6931.41	327.461808	23.9204
5128.45	6931.41	331.183416	21.7429
5128.45	6931.41	332.875056	23.6513
5128.45	6931.41	334.905024	19.8378
5128.45	6931.41	335.920008	22.5632
5128.45	6931.41	338.62968	22.0199
5128.45	6931.41	339.644664	20.3857
5128.45	6931.41	342.01296	19.5697
5128.45	6931.41	343.366272	22.2953
5128.45	6931.41	345.734568	23.6592
5128.45	6931.41	347.08788	21.7527
5128.45	6931.41	350.474208	18.2125
5128.45	6931.41	351.82752	15.4886
5128.45	6931.41	353.857488	11.4026
5128.45	6931.41	355.549128	21.7579
5128.45	6931.41	357.240768	15.2194
5128.45	6931.41	359.609064	21.4879
5128.45	6931.41	361.639032	22.0341
5128.45	6931.41	362.654016	17.9476
5128.45	6931.41	364.687032	18.4938
